Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
107,Luan Cândido,br BRA,DF,RB Bragantino,22,2001,26,22,1953,21.7,1,0,1,0,1,1,5,0,1.5,0.8,0.1,0.9,7,50,16,0.05,0.00,0.05,0.00,0.00,0.07,0.01,0.08,0.03,0.04,Matches
108,Germán Cano,ar ARG,FW,Fluminense,35,1988,27,20,1611,17.9,4,0,4,4,0,0,6,0,5.7,5.7,1.6,7.3,4,20,41,0.22,0.00,0.22,0.22,0.22,0.31,0.09,0.40,0.31,0.40,Matches
109,Agustín Canobbio,uy URU,"FW,MF",Ath Paranaense,25,1998,20,14,1215,13.5,4,1,5,4,0,0,6,1,3.5,3.5,2.5,5.9,47,57,136,0.30,0.07,0.37,0.30,0.37,0.26,0.18,0.44,0.26,0.44,Matches
110,Juninho Capixaba,br BRA,"DF,MF",RB Bragantino,26,1997,24,23,1872,20.8,2,0,2,2,0,0,4,0,1.5,1.5,0.7,2.2,35,90,73,0.10,0.00,0.10,0.10,0.10,0.07,0.04,0.11,0.07,0.11,Matches
111,Felipe Carballo,uy URU,MF,Grêmio,27,1996,9,5,478,5.3,0,0,0,0,0,0,3,0,0.4,0.4,0.0,0.4,8,28,25,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
112,Tomás Cardona,ar ARG,DF,Fortaleza,28,1995,17,16,1435,15.9,1,0,1,1,0,0,4,0,0.5,0.5,0.0,0.5,11,50,0,0.06,0.00,0.06,0.06,0.06,0.03,0.00,0.03,0.03,0.03,Matches
113,Edson Carioca,br BRA,FW,Juventude,26,1997,16,9,740,8.2,3,2,5,3,0,0,2,0,1.8,1.8,0.3,2.1,19,23,59,0.36,0.24,0.61,0.36,0.61,0.24,0.05,0.28,0.24,0.28,Matches
114,Carlinhos,br BRA,FW,Flamengo,26,1997,13,5,423,4.7,2,0,2,2,0,0,2,1,2.4,2.4,0.1,2.6,6,1,21,0.43,0.00,0.43,0.43,0.43,0.52,0.03,0.55,0.52,0.55,Matches
115,Antonio Carlos,br BRA,DF,Fluminense,30,1993,13,11,1080,12.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.5,8,40,2,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
116,Jan Carlos Hurtado,ve VEN,FW,Atl Goianiense,23,2000,19,9,865,9.6,2,0,2,2,0,0,2,1,1.7,1.7,0.6,2.3,9,15,41,0.21,0.00,0.21,0.21,0.21,0.18,0.06,0.24,0.18,0.24,Matches
117,João Carlos,br BRA,"MF,FW",Criciúma,22,2001,5,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,5,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.35,0.35,0.35,Matches
118,Jean Carlos Vicente,br BRA,"MF,FW",Juventude,31,1992,22,13,1031,11.5,4,2,6,4,0,0,3,0,1.7,1.7,2.7,4.4,26,52,38,0.35,0.17,0.52,0.35,0.52,0.15,0.23,0.38,0.15,0.38,Matches
119,André Carrillo,pe PER,MF,Corinthians,32,1991,13,8,730,8.1,0,2,2,0,0,0,3,0,0.2,0.2,2.2,2.4,13,66,25,0.00,0.25,0.25,0.00,0.25,0.03,0.27,0.29,0.03,0.29,Matches
120,Ronie Carrillo,ec ECU,FW,Juventude,27,1996,14,9,678,7.5,1,0,1,1,0,0,0,0,1.0,1.0,0.3,1.3,6,10,29,0.13,0.00,0.13,0.13,0.13,0.13,0.03,0.17,0.13,0.17,Matches
121,Gabriel Carvalho,br BRA,"FW,MF",Internacional,16,2007,24,15,1301,14.5,1,3,4,1,0,0,3,0,3.2,3.2,4.0,7.2,50,61,168,0.07,0.21,0.28,0.07,0.28,0.22,0.27,0.50,0.22,0.50,Matches
122,Cássio,br BRA,GK,Cruzeiro,36,1987,21,21,1890,21.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
123,Cássio,br BRA,GK,Corinthians,36,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
124,Iury de Castilho,br BRA,"FW,MF",Vitória,28,1995,5,0,124,1.4,1,0,1,1,0,0,1,0,1.2,1.2,0.0,1.2,5,8,8,0.73,0.00,0.73,0.73,0.73,0.85,0.02,0.87,0.85,0.87,Matches
125,Erick Castillo,ec ECU,"FW,MF",Vitória,28,1995,9,1,274,3.0,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.8,5,2,18,0.33,0.00,0.33,0.33,0.33,0.24,0.01,0.25,0.24,0.25,Matches
126,Ivan Cavaleiro,pt POR,"FW,MF",RB Bragantino,30,1993,5,1,189,2.1,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.4,2,7,21,0.00,0.00,0.00,0.00,0.00,0.12,0.08,0.20,0.12,0.20,Matches
127,Murilo Cerqueira,br BRA,DF,Palmeiras,26,1997,25,25,2175,24.2,1,0,1,1,0,0,7,1,1.5,1.5,0.4,1.9,25,127,2,0.04,0.00,0.04,0.04,0.04,0.06,0.01,0.08,0.06,0.08,Matches
128,Reynaldo Cesar Moraes,br BRA,DF,Vitória,27,1997,5,3,356,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
129,Christian,br BRA,"MF,FW",Ath Paranaense,23,2000,24,17,1507,16.7,1,0,1,1,0,0,7,0,1.8,1.8,1.8,3.6,15,57,102,0.06,0.00,0.06,0.06,0.06,0.11,0.11,0.22,0.11,0.22,Matches
130,Eliel Chrystian,br BRA,"FW,MF",Cuiabá,21,2003,23,3,510,5.7,2,0,2,2,0,0,2,0,2.2,2.2,0.1,2.3,8,4,30,0.35,0.00,0.35,0.35,0.35,0.39,0.01,0.40,0.39,0.40,Matches
131,Chumbinho,br BRA,"MF,FW",RB Bragantino,20,2003,2,0,12,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.84,0.00,0.84,0.84,0.84,Matches
132,Cicinho,bg BUL,"DF,FW",Bahia,35,1988,6,1,85,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,8,6,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,Matches
133,José Cifuentes,ec ECU,MF,Cruzeiro,24,1999,3,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,8,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
134,Claudinho,br BRA,DF,Criciúma,23,2000,34,23,2047,22.7,2,3,5,2,0,0,3,1,1.1,1.1,3.6,4.7,43,113,101,0.09,0.13,0.22,0.09,0.22,0.05,0.16,0.20,0.05,0.20,Matches
135,Mateus Claus,br BRA,GK,Juventude,29,1994,5,4,406,4.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
136,Clayson,br BRA,"FW,MF",Cuiabá,28,1995,33,28,2043,22.7,5,1,6,5,0,0,6,0,2.6,2.6,1.2,3.7,56,75,120,0.22,0.04,0.26,0.22,0.26,0.11,0.05,0.16,0.11,0.16,Matches
137,Clayton,br BRA,DF,Internacional,23,2000,8,5,535,5.9,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,1,15,0,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Matches
138,Clayton,br BRA,FW,Vasco da Gama,25,1999,6,1,146,1.6,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.8,1,2,10,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.48,0.48,0.48,Matches
139,Cleiton,br BRA,DF,Flamengo,20,2003,4,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
140,Mateus Cocão,br BRA,MF,Vasco da Gama,21,2002,32,25,2156,24.0,2,2,4,2,0,0,9,1,0.7,0.7,1.0,1.7,20,114,38,0.08,0.08,0.17,0.08,0.17,0.03,0.04,0.07,0.03,0.07,Matches
141,Robert Conceição,br BRA,"MF,DF",Atlético Mineiro,20,2003,3,0,22,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,4,6,0.00,0.00,0.00,0.00,0.00,0.95,0.75,1.70,0.95,1.70,Matches
142,Igor Coronado,br BRA,"MF,FW",Corinthians,31,1992,30,11,1378,15.3,1,2,3,1,0,0,6,0,1.1,1.1,4.0,5.1,72,114,90,0.07,0.13,0.20,0.07,0.20,0.07,0.26,0.34,0.07,0.34,Matches
143,Diego Costa,es ESP,FW,Grêmio,35,1988,14,5,478,5.3,1,2,3,1,0,0,4,1,0.9,0.9,0.5,1.4,8,11,32,0.19,0.38,0.56,0.19,0.56,0.17,0.09,0.26,0.17,0.26,Matches
144,Douglas Costa,br BRA,FW,Fluminense,33,1990,10,2,292,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,12,19,30,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.15,0.03,0.15,Matches
145,Philippe Coutinho,br BRA,MF,Vasco da Gama,31,1992,15,7,667,7.4,2,1,3,2,0,0,0,0,2.3,2.3,1.0,3.3,28,60,29,0.27,0.13,0.40,0.27,0.40,0.30,0.14,0.44,0.30,0.44,Matches
146,Franco Cristaldo,ar ARG,"MF,FW",Grêmio,27,1996,35,25,2136,23.7,6,2,8,5,1,1,1,0,5.2,4.4,5.5,9.9,31,157,128,0.25,0.08,0.34,0.21,0.29,0.22,0.23,0.45,0.19,0.42,Matches
147,Alejo Cruz,uy URU,"FW,MF",Atl Goianiense,23,2000,36,22,2156,24.0,2,2,4,1,1,1,4,0,2.4,1.7,3.7,5.3,69,115,151,0.08,0.08,0.17,0.04,0.13,0.10,0.15,0.25,0.07,0.22,Matches
148,João Cruz,br BRA,"MF,FW",Ath Paranaense,17,2006,18,10,838,9.3,1,2,3,1,0,0,2,0,0.7,0.7,1.0,1.8,22,37,61,0.11,0.21,0.32,0.11,0.32,0.08,0.11,0.19,0.08,0.19,Matches
149,Tomás Cuello,ar ARG,"FW,MF",Ath Paranaense,23,2000,32,23,2010,22.3,3,5,8,3,0,0,3,0,2.8,2.8,4.2,7.0,102,88,188,0.13,0.22,0.36,0.13,0.36,0.13,0.19,0.31,0.13,0.31,Matches
150,Víctor Cuesta,ar ARG,DF,Bahia,35,1988,7,7,506,5.6,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,1,14,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
151,Cuiabano,br BRA,DF,Grêmio,20,2003,2,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
152,Cuiabano,br BRA,DF,Botafogo (RJ),20,2003,23,16,1476,16.4,4,1,5,4,0,0,5,0,1.8,1.8,1.4,3.2,37,40,128,0.24,0.06,0.30,0.24,0.30,0.11,0.08,0.19,0.11,0.19,Matches
153,Lucas Cunha,br BRA,DF,RB Bragantino,27,1997,11,8,782,8.7,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.1,0,22,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
154,Matheus Cunha,br BRA,GK,Flamengo,22,2001,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
155,Danielzinho,br BRA,"MF,FW",Atl Goianiense,28,1996,4,0,103,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,16,9,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.13,0.02,0.13,Matches
156,David,br BRA,FW,Vasco da Gama,28,1995,23,20,1588,17.6,4,3,7,4,0,0,7,1,1.8,1.8,1.9,3.8,41,48,127,0.23,0.17,0.40,0.23,0.40,0.10,0.11,0.21,0.10,0.21,Matches
157,David,br BRA,"MF,FW",Juventude,24,2000,2,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
158,David,br BRA,"MF,FW",Cuiabá,16,2007,5,0,13,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,0,0,1,0.00,0.00,0.00,0.00,0.00,0.96,0.20,1.16,0.96,1.16,Matches
159,Giorgian De Arrascaeta,uy URU,MF,Flamengo,29,1994,15,11,1007,11.2,5,5,10,5,0,0,2,0,2.2,2.2,2.7,4.8,19,80,91,0.45,0.45,0.89,0.45,0.89,0.20,0.24,0.43,0.20,0.43,Matches
160,Nicolás De La Cruz,uy URU,MF,Flamengo,26,1997,15,11,1010,11.2,2,3,5,2,0,0,3,0,1.6,1.6,2.5,4.1,18,104,35,0.18,0.27,0.45,0.18,0.45,0.14,0.22,0.37,0.14,0.37,Matches
161,Sergio Antonio De Luiz Junior,br BRA,"MF,FW",Criciúma,28,1995,3,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
162,Sergio Antonio De Luiz Junior,br BRA,"FW,MF",Vasco da Gama,28,1995,2,0,41,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,0,5,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Matches
163,Gabriel Delfim,br BRA,GK,Atlético Mineiro,21,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
164,Denilson,br BRA,MF,Cuiabá,22,2001,33,25,2016,22.4,0,3,3,0,0,0,8,0,1.1,1.1,2.2,3.3,26,96,43,0.00,0.13,0.13,0.00,0.13,0.05,0.10,0.15,0.05,0.15,Matches
165,Derek,br BRA,FW,Atl Goianiense,26,1997,25,11,986,11.0,3,1,4,3,0,1,1,1,3.8,2.8,1.9,4.7,20,17,53,0.27,0.09,0.37,0.27,0.37,0.34,0.17,0.51,0.26,0.43,Matches
166,Deyverson,br BRA,FW,Atlético Mineiro,32,1991,17,12,1001,11.1,2,1,3,2,0,1,4,0,2.3,1.5,0.8,2.3,4,14,49,0.18,0.09,0.27,0.18,0.27,0.21,0.07,0.28,0.13,0.20,Matches
167,Deyverson,br BRA,FW,Cuiabá,32,1991,4,2,220,2.4,1,0,1,1,0,0,0,0,0.9,0.9,0.1,0.9,2,6,7,0.41,0.00,0.41,0.41,0.41,0.36,0.02,0.39,0.36,0.39,Matches
168,Lucas Di Yorio,ar ARG,FW,Ath Paranaense,27,1996,20,8,799,8.9,3,0,3,3,0,1,1,0,4.0,3.2,0.2,3.4,15,10,47,0.34,0.00,0.34,0.34,0.34,0.45,0.03,0.47,0.36,0.38,Matches
169,Matheus Dias,br BRA,"FW,MF",Internacional,21,2002,3,1,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
170,Lautaro Díaz,ar ARG,FW,Cruzeiro,25,1998,18,11,959,10.7,1,0,1,1,0,0,1,0,2.2,2.2,0.6,2.8,15,15,74,0.09,0.00,0.09,0.09,0.09,0.20,0.06,0.26,0.20,0.26,Matches
171,Diego,br BRA,DF,São Paulo,24,1999,14,9,894,9.9,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,4,40,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
172,Dodi,br BRA,MF,Grêmio,27,1996,33,27,2400,26.7,0,2,2,0,0,0,6,1,0.9,0.9,1.1,2.1,24,79,15,0.00,0.07,0.07,0.00,0.07,0.03,0.04,0.08,0.03,0.08,Matches
173,Maxime Dominguez,ch SUI,"FW,MF",Vasco da Gama,27,1996,8,2,239,2.7,1,0,1,1,0,0,2,0,0.2,0.2,0.1,0.3,1,5,10,0.38,0.00,0.38,0.38,0.38,0.07,0.05,0.11,0.07,0.11,Matches
174,Matheus Donelli,br BRA,GK,Corinthians,21,2002,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
175,Thiago dos Santos,br BRA,DF,Fluminense,34,1989,27,24,2143,23.8,0,0,0,0,0,0,9,0,1.1,1.1,0.1,1.1,13,67,3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
176,Lucca Drummond,br BRA,FW,Internacional,20,2004,5,2,159,1.8,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,3,1,8,0.00,0.57,0.57,0.00,0.57,0.00,0.17,0.17,0.00,0.17,Matches
177,David Duarte,br BRA,DF,Bahia,29,1995,3,3,255,2.8,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,3,11,0,0.35,0.00,0.35,0.35,0.35,0.06,0.00,0.06,0.06,0.06,Matches
178,Dudu,br BRA,MF,Vitória,24,1999,5,4,296,3.3,0,0,0,0,0,0,4,1,0.1,0.1,0.1,0.1,4,30,8,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
179,Dudu,br BRA,"FW,MF",Palmeiras,32,1992,18,4,548,6.1,0,0,0,0,0,0,0,0,1.2,1.2,0.6,1.8,35,26,76,0.00,0.00,0.00,0.00,0.00,0.20,0.09,0.29,0.20,0.29,Matches
180,Edenílson,br BRA,"MF,FW",Grêmio,34,1989,30,17,1333,14.8,1,1,2,1,0,0,3,0,2.2,2.2,0.9,3.2,21,50,61,0.07,0.07,0.14,0.07,0.14,0.15,0.06,0.21,0.15,0.21,Matches
181,Éder,it ITA,FW,Criciúma,37,1986,16,10,764,8.5,0,0,0,0,0,0,5,0,1.1,1.1,1.3,2.3,13,22,60,0.00,0.00,0.00,0.00,0.00,0.13,0.15,0.28,0.13,0.28,Matches
182,EDU,br BRA,DF,Vitória,23,2000,12,7,744,8.3,0,0,0,0,0,0,2,0,0.7,0.7,0.0,0.7,2,23,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
183,Carlos Eduardo,br BRA,"FW,MF",Vitória,27,1996,17,8,871,9.7,0,2,2,0,0,0,4,0,1.5,1.5,1.2,2.7,19,22,57,0.00,0.21,0.21,0.00,0.21,0.15,0.13,0.28,0.15,0.28,Matches
184,Carlos Eduardo,br BRA,"MF,FW",Botafogo (RJ),34,1989,17,8,823,9.1,2,1,3,2,0,1,1,0,1.7,0.9,0.5,1.4,11,41,29,0.22,0.11,0.33,0.22,0.33,0.18,0.06,0.24,0.10,0.16,Matches
185,Alysson Edward,br BRA,"FW,MF",Grêmio,17,2006,3,0,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,9,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
186,Eli,br BRA,FW,Atl Goianiense,19,2004,1,0,14,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.38,0.38,0.38,Matches
187,Kauã Elias,br BRA,FW,Fluminense,17,2006,30,16,1465,16.3,6,2,8,6,0,0,4,0,5.0,5.0,2.7,7.8,28,33,109,0.37,0.12,0.49,0.37,0.49,0.31,0.17,0.48,0.31,0.48,Matches
188,Rafael Elias,br BRA,FW,Cruzeiro,24,1999,5,0,103,1.1,1,0,1,1,0,0,2,0,0.6,0.6,0.0,0.6,0,3,9,0.87,0.00,0.87,0.87,0.87,0.50,0.00,0.50,0.50,0.50,Matches
189,Eliédson,br BRA,MF,Criciúma,20,2003,5,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
190,Rodrigo Ely,br BRA,DF,Grêmio,30,1993,21,19,1659,18.4,1,0,1,1,0,0,5,0,1.0,1.0,0.2,1.2,3,37,6,0.05,0.00,0.05,0.05,0.05,0.05,0.01,0.06,0.05,0.06,Matches
191,Emersonn,br BRA,"FW,MF",Ath Paranaense,19,2004,13,2,386,4.3,0,0,0,0,0,0,0,0,0.9,0.9,0.7,1.6,9,5,30,0.00,0.00,0.00,0.00,0.00,0.22,0.16,0.37,0.22,0.37,Matches
192,Leandro Emmanuel Martínez,ar ARG,"MF,FW",Fortaleza,29,1994,20,11,1011,11.2,1,4,5,1,0,0,4,0,1.0,1.0,1.9,2.8,15,51,33,0.09,0.36,0.45,0.09,0.45,0.09,0.17,0.25,0.09,0.25,Matches
193,Alan Empereur,br BRA,DF,Cuiabá,29,1994,30,30,2548,28.3,0,0,0,0,0,0,9,0,0.6,0.6,1.1,1.7,17,95,12,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches
194,Endrick,br BRA,"MF,FW",Palmeiras,17,2006,6,6,453,5.0,0,0,0,0,0,0,3,0,1.1,1.1,0.7,1.8,10,15,28,0.00,0.00,0.00,0.00,0.00,0.21,0.14,0.35,0.21,0.35,Matches
195,Erick,br BRA,"MF,DF",Ath Paranaense,26,1997,34,30,2560,28.4,3,1,4,3,0,0,2,0,4.2,4.2,1.5,5.7,17,119,43,0.11,0.04,0.14,0.11,0.14,0.15,0.05,0.20,0.15,0.20,Matches
196,Erick,br BRA,"FW,MF",São Paulo,26,1997,19,6,646,7.2,1,2,3,1,0,0,3,0,0.6,0.6,2.2,2.9,33,42,89,0.14,0.28,0.42,0.14,0.42,0.09,0.31,0.40,0.09,0.40,Matches
197,Esquerdinha,br BRA,"DF,FW",Fluminense,17,2006,5,1,128,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,8,6,5,0.00,0.00,0.00,0.00,0.00,0.08,0.26,0.34,0.08,0.34,Matches
198,Lucas Esquivel,ar ARG,DF,Ath Paranaense,22,2001,33,31,2720,30.2,0,4,4,0,0,0,5,1,0.6,0.6,4.5,5.1,57,178,87,0.00,0.13,0.13,0.00,0.13,0.02,0.15,0.17,0.02,0.17,Matches
199,Lucas Esteves,br BRA,DF,Vitória,23,2000,34,32,2932,32.6,1,4,5,1,0,0,10,0,1.6,1.6,3.0,4.6,46,108,126,0.03,0.12,0.15,0.03,0.15,0.05,0.09,0.14,0.05,0.14,Matches
200,Guilherme Estrella,br BRA,MF,Vasco da Gama,18,2005,3,3,146,1.6,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,3,4,7,0.62,0.00,0.62,0.62,0.62,0.24,0.02,0.26,0.24,0.26,Matches
201,Oscar Estupiñan,co COL,"FW,MF",Bahia,27,1996,11,1,252,2.8,3,1,4,3,0,0,1,0,3.4,3.4,0.1,3.5,1,6,17,1.07,0.36,1.43,1.07,1.43,1.22,0.05,1.26,1.22,1.26,Matches
202,Vitor Eudes,br BRA,GK,Fluminense,25,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
203,Lucas Evangelista,br BRA,MF,RB Bragantino,28,1995,32,30,2540,28.2,2,3,5,2,0,0,4,0,2.6,2.6,2.0,4.6,26,131,69,0.07,0.11,0.18,0.07,0.18,0.09,0.07,0.16,0.09,0.16,Matches
204,Everaldo,br BRA,"FW,MF",Vitória,29,1994,15,3,421,4.7,2,0,2,2,0,0,3,0,1.1,1.1,0.1,1.2,18,17,37,0.43,0.00,0.43,0.43,0.43,0.22,0.02,0.25,0.22,0.25,Matches
205,Éverson,br BRA,GK,Atlético Mineiro,33,1990,25,25,2242,24.9,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
206,Everton,br BRA,"FW,MF",Grêmio,26,1997,12,4,457,5.1,0,0,0,0,0,0,4,0,0.2,0.2,0.7,0.9,11,11,28,0.00,0.00,0.00,0.00,0.00,0.05,0.14,0.18,0.05,0.18,Matches
207,Everton,br BRA,FW,RB Bragantino,21,2002,1,0,25,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
208,Evertton,br BRA,MF,Flamengo,20,2003,16,8,803,8.9,1,0,1,1,0,0,3,0,0.9,0.9,0.2,1.0,9,41,5,0.11,0.00,0.11,0.11,0.11,0.10,0.02,0.12,0.10,0.12,Matches
209,Ewerton,br BRA,"DF,FW",Juventude,23,2000,24,12,1189,13.2,1,2,3,1,0,0,1,0,1.0,1.0,1.5,2.4,10,35,51,0.08,0.15,0.23,0.08,0.23,0.07,0.11,0.18,0.07,0.18,Matches
210,Fabiano,br BRA,DF,Botafogo (RJ),17,2006,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
211,Bruno Fabiano Alves,br BRA,DF,Cuiabá,32,1991,28,21,2015,22.4,1,0,1,1,0,0,3,0,0.9,0.9,0.0,0.9,11,42,3,0.04,0.00,0.04,0.04,0.04,0.04,0.00,0.04,0.04,0.04,Matches
212,Fabinho,br BRA,MF,Palmeiras,21,2002,19,4,513,5.7,1,0,1,1,0,0,2,0,0.3,0.3,0.3,0.5,5,36,13,0.18,0.00,0.18,0.18,0.18,0.05,0.04,0.09,0.05,0.09,Matches
213,Fábio,br BRA,GK,Fluminense,43,1980,37,37,3330,37.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
214,Fábio,br BRA,DF,Grêmio,33,1990,12,8,677,7.5,0,0,0,0,0,0,1,1,0.4,0.4,0.4,0.8,11,15,40,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches
215,Fabrício,br BRA,GK,Internacional,38,1986,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
