Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Abner,BRA,DF,Ath Paranaense,21,2000,23.4,43,28,26,14,3,24,38,63.2,14,18,3,15,39,82,54,0
Adryelson,BRA,DF,Botafogo (RJ),23,1998,16.1,17,12,14,3,0,8,10,80.0,2,18,12,6,22,39,99,0
Adson,BRA,"FW,MF",Corinthians,21,2000,13.8,34,22,15,13,6,12,22,54.5,10,18,0,18,13,47,11,0
Airton,BRA,FW,Atl Goianiense,22,1999,19.3,32,24,17,8,7,15,39,38.5,24,17,5,12,10,42,12,0
Carlos Alberto,BRA,"FW,MF",América (MG),19,2002,1.7,1,1,1,0,0,1,4,25.0,3,2,0,2,4,5,0,1
Yuri Alberto,BRA,FW,Corinthians,20,2001,16.1,12,8,1,6,5,6,13,46.2,7,15,0,15,2,14,8,0
Ale,BRA,MF,América (MG),31,1990,21.4,50,21,20,22,8,19,37,51.4,18,32,5,27,28,78,36,1
Alexandre Alemão,BRA,FW,Internacional,23,1998,22.3,22,11,1,14,7,12,25,48.0,13,20,3,17,4,26,11,0
Alerrandro,BRA,FW,RB Bragantino,22,2000,10.3,4,1,0,3,1,2,7,28.6,5,10,2,8,4,8,8,0
Alesson,BRA,"MF,FW",Cuiabá,22,1999,11.4,19,9,8,8,3,11,33,33.3,22,20,1,19,3,22,3,0
Alex,BRA,DF,Santos,22,1999,3.7,4,3,2,2,0,3,4,75.0,1,8,8,0,8,12,15,0
Caio Alexandre,BRA,MF,Fortaleza,22,1999,11.0,39,22,19,17,3,21,41,51.2,20,14,4,10,11,50,14,0
Matheus Alexandre,BRA,DF,Coritiba,22,1999,15.6,35,22,25,9,1,23,35,65.7,12,16,8,8,30,65,36,0
Alexsander,BRA,DF,Fluminense,18,2003,2.5,5,1,3,0,2,3,6,50.0,3,5,0,5,6,11,2,0
Alisson,BRA,"MF,FW",São Paulo,28,1993,10.5,15,9,4,9,2,10,22,45.5,12,10,1,9,5,20,8,0
Allan,BRA,MF,Atlético Mineiro,24,1997,30.4,47,30,21,21,5,24,50,48.0,26,24,7,17,25,72,44,1
Henrique Almeida,BRA,FW,América (MG),30,1991,16.6,18,11,4,9,5,4,15,26.7,11,7,0,7,3,21,9,0
Júnior Alonso,PAR,DF,Atlético Mineiro,28,1993,28.9,24,14,17,6,1,13,29,44.8,16,28,17,11,28,52,66,0
Diego Alves,BRA,GK,Flamengo,36,1985,4.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
