Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches
179,Denzel,br BRA,FW,Goiás,20,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
180,Deyverson,br BRA,FW,Cuiabá,31,1991,32.3,57,1.77,43,0,2,8,2,2,8,0.25,6,0,0,1,1,0,Matches
181,Leonel Di Plácido,ar ARG,DF,Botafogo (RJ),29,1994,26.2,83,3.17,56,12,9,1,1,4,7,0.27,5,1,1,0,0,0,Matches
182,Gabriel Dias,br BRA,DF,Vasco da Gama,28,1994,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
183,Jean Dias,br BRA,"FW,MF",Internacional,32,1990,3.6,5,1.40,1,2,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
184,Luan Dias,br BRA,"MF,FW",Santos,25,1997,2.1,2,0.94,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
185,Matheus Dias,br BRA,"MF,FW",Internacional,20,2002,4.5,9,2.00,9,0,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches
186,Diego,br BRA,DF,São Paulo,23,1999,19.4,16,0.83,15,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
187,Dieguinho Diego,br BRA,"DF,FW",Goiás,27,1995,12.0,37,3.09,19,7,5,3,2,1,1,0.08,1,0,0,0,0,0,Matches
188,Diogo,br BRA,"FW,MF",Coritiba,26,1996,8.4,15,1.78,12,0,0,1,2,0,2,0.24,1,0,0,0,1,0,Matches
189,Dodi,br BRA,MF,Santos,26,1996,19.1,16,0.84,8,4,0,1,3,0,1,0.05,0,0,0,0,1,0,Matches
190,Dodô,br BRA,DF,Atlético Mineiro,30,1992,0.7,3,4.58,1,1,0,0,1,0,1,1.53,0,0,0,0,1,0,Matches
191,Dodô,br BRA,DF,Santos,30,1992,15.8,27,1.70,20,5,0,2,0,0,1,0.06,0,0,0,1,0,0,Matches
192,Dodô,br BRA,"MF,FW",Goiás,21,2001,3.6,23,6.41,10,7,1,0,4,1,0,0.00,0,0,0,0,0,0,Matches
193,Thiago Dombroski,br BRA,DF,Coritiba,20,2002,5.6,2,0.36,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
194,Halerrandrio dos Santos,br BRA,MF,Goiás,16,2006,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
195,Thiago dos Santos,br BRA,"DF,MF",Fluminense,33,1989,9.1,8,0.88,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
196,Henrique Dourado,br BRA,FW,Cruzeiro,33,1989,3.8,7,1.83,3,0,1,2,0,1,0,0.00,0,0,0,0,0,0,Matches
197,David Duarte,br BRA,DF,Bahia,28,1995,9.6,5,0.52,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
198,Dudu,br BRA,MF,Ath Paranaense,17,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
199,Dudu,br BRA,FW,Palmeiras,31,1992,12.0,62,5.18,48,2,9,0,1,2,5,0.42,4,0,0,0,0,1,Matches
200,Éberth,br BRA,FW,Coritiba,19,2003,0.3,1,3.60,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
201,Edenílson,br BRA,"MF,FW",Atlético Mineiro,33,1989,15.2,39,2.57,34,1,0,1,2,1,4,0.26,3,0,0,1,0,0,Matches
202,Eder,br BRA,DF,América (MG),27,1995,17.4,11,0.63,11,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
203,EDU,br BRA,DF,Goiás,22,2000,4.8,3,0.62,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
204,Edu,br BRA,"FW,MF",Coritiba,29,1993,3.6,7,1.97,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
205,Carlos Eduardo,br BRA,MF,Botafogo (RJ),33,1989,29.7,84,2.83,57,10,5,3,9,0,10,0.34,7,3,0,0,0,0,Matches
206,Eguinaldo,br BRA,"FW,MF",Vasco da Gama,18,2004,0.7,1,1.34,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
207,Rafael Elias,br BRA,FW,Cruzeiro,23,1999,6.0,15,2.50,8,0,2,4,1,0,0,0.00,0,0,0,0,0,0,Matches
208,Rodrigo Ely,br BRA,DF,Grêmio,29,1993,7.4,1,0.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
209,Lucas Emmanuel,br BRA,FW,Goiás,22,2000,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
210,Leandro Emmanuel Martínez,ar ARG,MF,América (MG),28,1994,28.2,120,4.25,83,22,3,3,5,4,9,0.32,6,2,0,0,1,0,Matches
211,Alan Empereur,br BRA,DF,Cuiabá,28,1994,32.8,25,0.76,23,2,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
212,Endrick,br BRA,FW,Palmeiras,16,2006,17.3,54,3.12,31,0,11,5,7,0,9,0.52,3,0,4,1,1,0,Matches
213,Erick,br BRA,MF,Ath Paranaense,25,1997,27.8,61,2.20,51,0,2,5,1,2,7,0.25,6,0,1,0,0,0,Matches
214,Erison,br BRA,"FW,MF",São Paulo,23,1999,4.3,6,1.38,2,0,1,2,1,0,1,0.23,0,0,0,1,0,0,Matches
215,Gonzalo Escobar,ar ARG,DF,Fortaleza,25,1997,6.4,16,2.49,11,2,2,0,0,1,1,0.16,0,0,0,0,0,1,Matches
216,Lucas Esquivel,ar ARG,DF,Ath Paranaense,21,2001,18.3,41,2.24,21,13,1,1,3,2,3,0.16,2,1,0,0,0,0,Matches
217,Estevão,br BRA,MF,Internacional,20,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
218,Vitor Eudes,br BRA,GK,Fluminense,24,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
219,Lucas Evangelista,br BRA,MF,RB Bragantino,27,1995,30.2,159,5.26,107,28,5,8,9,2,12,0.40,7,3,0,2,0,0,Matches
220,Everaldo,br BRA,"FW,MF",América (MG),28,1994,13.7,50,3.65,35,3,1,4,7,0,6,0.44,6,0,0,0,0,0,Matches
221,Éverson,br BRA,GK,Atlético Mineiro,32,1990,36.0,8,0.22,6,2,0,0,0,0,1,0.03,0,1,0,0,0,0,Matches
222,Everton,br BRA,"FW,MF",Grêmio,25,1997,13.5,44,3.26,31,2,3,5,2,1,5,0.37,4,0,1,0,0,0,Matches
223,Bruno Fabiano Alves,br BRA,DF,Grêmio,31,1991,27.2,5,0.18,4,0,0,1,0,0,1,0.04,1,0,0,0,0,0,Matches
224,Fabinho,br BRA,MF,Palmeiras,20,2002,6.5,15,2.30,12,0,0,1,1,1,2,0.31,1,0,0,1,0,0,Matches
225,Fábio,br BRA,GK,Fluminense,42,1980,35.0,4,0.11,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
226,Fábio,br BRA,"DF,MF",Grêmio,32,1990,9.7,24,2.48,19,0,0,2,2,1,3,0.31,2,0,0,0,0,1,Matches
227,Fagner,br BRA,DF,Corinthians,33,1989,23.3,69,2.96,38,26,1,0,3,1,5,0.21,4,1,0,0,0,0,Matches
228,Willian Farias,br BRA,MF,Coritiba,33,1989,10.7,14,1.31,11,0,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
229,Luiz Felipe,br BRA,DF,Santos,29,1993,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
230,Marcos Felipe,br BRA,GK,Bahia,26,1996,37.0,5,0.14,2,3,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
231,Matheus Felipe,br BRA,DF,Ath Paranaense,24,1998,5.9,3,0.51,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
232,Danilo Fernandes,br BRA,GK,Bahia,34,1988,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
233,Lucas Fernandes,br BRA,MF,Botafogo (RJ),25,1997,5.3,19,3.62,7,7,0,4,1,0,1,0.19,1,0,0,0,0,0,Matches
234,Matheus Fernandes,br BRA,MF,RB Bragantino,24,1998,26.0,74,2.85,69,0,0,2,1,2,4,0.15,3,0,0,0,0,1,Matches
235,Nathan Fernandes,br BRA,"FW,MF",Grêmio,17,2005,4.2,16,3.82,9,0,4,3,0,0,1,0.24,1,0,0,0,0,0,Matches
236,Gatito Fernández,py PAR,GK,Botafogo (RJ),34,1988,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
237,Leonardo Fernández,uy URU,"MF,FW",Fluminense,24,1998,7.3,32,4.39,17,7,3,1,4,0,2,0.27,0,0,1,0,1,0,Matches
238,Rodrigo Fernández,uy URU,MF,Santos,27,1996,22.4,21,0.94,17,0,1,0,3,0,1,0.04,1,0,0,0,0,0,Matches
239,Fernandinho,br BRA,MF,Ath Paranaense,37,1985,21.5,71,3.31,61,3,1,0,5,1,12,0.56,11,0,0,0,1,0,Matches
240,Fernando,br BRA,FW,Cruzeiro,17,2005,0.1,1,18.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
241,Fernando,br BRA,DF,Ath Paranaense,23,1999,5.3,14,2.64,13,1,0,0,0,0,4,0.75,4,0,0,0,0,0,Matches
242,Nahuel Ferraresi,ve VEN,FW,São Paulo,24,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
243,Ferreira,br BRA,"FW,MF",Grêmio,25,1997,12.7,50,3.93,33,2,8,3,4,0,9,0.71,4,1,2,1,1,0,Matches
244,Sebastián Ferreira,py PAR,"FW,MF",Vasco da Gama,24,1998,4.9,15,3.07,13,0,0,1,1,0,2,0.41,1,0,0,1,0,0,Matches
245,Figueiredo,br BRA,"FW,MF",Vasco da Gama,21,2001,7.3,21,2.88,15,1,1,0,4,0,1,0.14,0,0,0,0,1,0,Matches
246,Tobias Figueiredo,pt POR,DF,Fortaleza,28,1994,3.8,3,0.79,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
247,Matheus França,br BRA,"MF,FW",Flamengo,18,2004,4.1,16,3.90,11,1,3,0,1,0,1,0.24,0,0,0,0,1,0,Matches
248,Alan Franco,ec ECU,"MF,FW",Atlético Mineiro,24,1998,9.3,13,1.39,11,0,0,1,0,1,1,0.11,0,0,0,1,0,0,Matches
249,Alan Franco,ar ARG,DF,São Paulo,26,1996,12.5,10,0.80,10,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
250,Fransérgio,br BRA,MF,Coritiba,32,1990,5.9,8,1.35,7,0,0,1,0,0,1,0.17,1,0,0,0,0,0,Matches
251,Marlon Freitas,br BRA,MF,Botafogo (RJ),27,1995,32.3,80,2.48,70,1,1,6,1,1,5,0.15,4,0,0,1,0,0,Matches
252,Bruno Fuchs,br BRA,DF,Atlético Mineiro,23,1999,12.1,10,0.83,10,0,0,0,0,0,2,0.17,2,0,0,0,0,0,Matches
253,Julio Furch,ar ARG,"FW,MF",Santos,33,1989,6.8,17,2.50,11,0,2,3,1,0,0,0.00,0,0,0,0,0,0,Matches
254,Gabriel,br BRA,DF,Bahia,21,2001,10.9,6,0.55,3,0,0,3,0,0,0,0.00,0,0,0,0,0,0,Matches
255,Gabriel,br BRA,MF,Internacional,30,1992,8.5,17,2.00,15,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
256,Gabriel,br BRA,GK,Coritiba,30,1992,30.7,5,0.16,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
257,Gabriel,br BRA,MF,Botafogo (RJ),29,1993,9.6,33,3.30,24,1,3,3,0,2,2,0.20,2,0,0,0,0,0,Matches
258,Eduardo Gabriel,br BRA,DF,Santos,26,1996,3.0,2,0.67,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
259,Thalisson Gabriel,br BRA,DF,Coritiba,21,2002,10.5,2,0.19,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
260,Zé Gabriel,br BRA,MF,Vasco da Gama,24,1999,21.5,26,1.21,22,0,1,1,1,1,0,0.00,0,0,0,0,0,0,Matches
261,Ighor Gabryel,br BRA,FW,América (MG),20,2003,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
262,Matías Galarza,py PAR,MF,Vasco da Gama,20,2002,4.5,5,1.12,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
263,Thiago Galhardo,br BRA,"FW,MF",Fortaleza,33,1989,20.8,58,2.79,41,0,3,8,4,2,6,0.29,6,0,0,0,0,0,Matches
264,JP Galvão,br BRA,DF,Botafogo (RJ),21,2001,2.2,6,2.69,4,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
265,Ganso,br BRA,MF,Fluminense,33,1989,19.3,68,3.52,53,11,0,4,0,0,8,0.41,6,2,0,0,0,0,Matches
266,Maurício Garcez,br BRA,"MF,FW",Coritiba,25,1997,6.6,12,1.81,6,0,1,1,3,1,0,0.00,0,0,0,0,0,0,Matches
267,García,br BRA,DF,Palmeiras,21,2002,3.3,5,1.54,4,1,0,0,0,0,1,0.31,1,0,0,0,0,0,Matches
268,Bryan García,ec ECU,MF,Ath Paranaense,22,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
269,Luan Garcia,br BRA,DF,Palmeiras,29,1993,20.2,25,1.24,23,0,1,1,0,0,4,0.20,2,0,1,1,0,0,Matches
270,Rafael Gava,br BRA,MF,Cuiabá,29,1993,0.2,2,10.00,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
271,Pedro Geromel,br BRA,DF,Grêmio,37,1985,5.2,2,0.38,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
272,Gerson,br BRA,MF,Flamengo,25,1997,29.9,121,4.05,101,0,7,4,8,1,15,0.50,13,0,1,0,1,0,Matches
273,Gil,br BRA,DF,Corinthians,35,1987,32.0,24,0.75,17,0,0,5,1,1,4,0.12,2,0,0,2,0,0,Matches
274,Gilberto,br BRA,FW,Cruzeiro,33,1989,12.1,22,1.81,18,0,1,2,0,1,3,0.25,3,0,0,0,0,0,Matches
275,Gilberto,br BRA,DF,Bahia,29,1993,20.6,62,3.01,48,5,4,1,3,1,8,0.39,6,0,1,0,1,0,Matches
276,Giovane,br BRA,FW,Corinthians,19,2003,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
277,Giovani,br BRA,FW,Palmeiras,19,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
278,Giovanni,br BRA,"MF,DF",Fluminense,21,2002,1.1,6,5.63,4,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
279,Bruno Gomes,br BRA,MF,Coritiba,21,2001,24.4,71,2.91,44,6,5,3,11,2,6,0.25,3,1,0,1,1,0,Matches
280,Igor Gomes,br BRA,"MF,FW",Atlético Mineiro,23,1999,15.3,52,3.41,38,9,4,0,1,0,6,0.39,5,0,1,0,0,0,Matches
281,Igor Gomes,br BRA,DF,Internacional,21,2001,16.3,15,0.92,11,0,1,2,1,0,1,0.06,1,0,0,0,0,0,Matches
282,Marlon Gomes,br BRA,"MF,FW",Vasco da Gama,19,2003,12.7,29,2.28,19,0,2,1,6,1,4,0.31,1,0,2,0,1,0,Matches
283,William Gomes,br BRA,FW,São Paulo,16,2006,0.8,5,5.92,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
284,Gustavo Gómez,py PAR,DF,Palmeiras,29,1993,30.7,31,1.01,24,0,0,5,0,2,5,0.16,3,0,0,2,0,0,Matches
285,Sebastián Gómez,co COL,MF,Coritiba,26,1996,15.9,19,1.20,14,2,0,1,1,1,3,0.19,1,0,0,1,1,0,Matches
286,Aloísio dos Santos Gonçalves,cn CHN,"FW,MF",América (MG),34,1988,8.0,26,3.26,16,0,5,3,2,0,4,0.50,2,0,0,2,0,0,Matches
287,Diego Gonçalves,br BRA,"FW,MF",Goiás,28,1994,4.0,11,2.78,9,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
288,Mateus Gonçalves Martins,br BRA,"MF,FW",América (MG),28,1994,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
289,Matheus Gonçalves,br BRA,"FW,MF",Flamengo,17,2005,0.2,2,11.25,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
290,Matheus Gonçalves,br BRA,"FW,MF",RB Bragantino,17,2005,5.1,31,6.04,19,3,3,2,4,0,4,0.78,1,0,1,0,2,0,Matches
291,Yony González,co COL,"FW,MF",Fluminense,28,1994,6.4,11,1.72,10,0,0,0,0,1,1,0.16,1,0,0,0,0,0,Matches
292,Roger Guedes,br BRA,"FW,MF",Corinthians,26,1996,15.0,46,3.07,34,2,2,4,4,0,3,0.20,3,0,0,0,0,0,Matches
293,Guga,br BRA,DF,Fluminense,24,1998,16.8,42,2.50,36,4,0,0,1,1,5,0.30,5,0,0,0,0,0,Matches
294,Guilherme,br BRA,MF,Goiás,31,1991,20.6,99,4.81,41,50,2,3,2,1,8,0.39,1,6,0,1,0,0,Matches
295,Guilherme,br BRA,"FW,MF",Fortaleza,27,1995,15.7,48,3.06,30,4,4,6,3,1,4,0.25,4,0,0,0,0,0,Matches
296,Guilherme,br BRA,"DF,MF",RB Bragantino,20,2002,2.9,2,0.69,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
297,Luis Guilherme,br BRA,"FW,MF",Palmeiras,16,2006,6.4,30,4.70,17,4,4,0,4,1,2,0.31,1,0,0,0,1,0,Matches
298,Gustavinho,br BRA,"MF,FW",Grêmio,21,2001,0.4,1,2.81,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
299,Gustavinho,br BRA,"MF,FW",RB Bragantino,18,2004,7.4,14,1.90,10,0,2,1,1,0,1,0.14,0,0,0,1,0,0,Matches
300,Raul Gustavo,br BRA,DF,Bahia,23,1999,3.6,2,0.56,0,0,0,1,1,0,1,0.28,0,0,0,1,0,0,Matches
301,Raphael Guzzo,pt POR,MF,Goiás,28,1995,6.4,21,3.28,14,3,0,3,0,1,0,0.00,0,0,0,0,0,0,Matches
302,Lucas Halter,br BRA,DF,Goiás,22,2000,28.7,27,0.94,23,1,0,2,0,1,2,0.07,2,0,0,0,0,0,Matches
303,Hayner,br BRA,"DF,MF",Coritiba,27,1995,3.4,7,2.07,6,0,0,0,1,0,1,0.30,1,0,0,0,0,0,Matches
304,Thiago Heleno,br BRA,DF,Ath Paranaense,34,1988,30.9,21,0.68,20,1,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches
305,Helinho,br BRA,FW,RB Bragantino,22,2000,15.4,80,5.20,52,9,9,3,6,1,6,0.39,4,1,0,0,1,0,Matches
306,Henrique,br BRA,DF,Coritiba,36,1986,22.5,11,0.49,7,1,0,1,0,2,0,0.00,0,0,0,0,0,0,Matches
307,Bruno Henrique,br BRA,"FW,MF",Flamengo,32,1990,17.1,46,2.68,32,0,6,4,4,0,7,0.41,2,0,3,0,2,0,Matches
308,Bruno Henrique,br BRA,MF,Internacional,33,1989,11.7,44,3.77,32,6,0,2,4,0,2,0.17,2,0,0,0,0,0,Matches
309,Dalbert Henrique,br BRA,DF,Internacional,29,1993,5.5,9,1.63,6,2,0,0,1,0,1,0.18,0,1,0,0,0,0,Matches
310,Fernando Henrique,br BRA,MF,Cruzeiro,21,2001,1.5,7,4.77,4,0,0,2,1,0,1,0.68,1,0,0,0,0,0,Matches
311,Luis Henrique,br BRA,"FW,MF",Botafogo (RJ),21,2001,15.3,61,3.96,50,0,9,1,1,0,8,0.52,4,0,3,0,1,0,Matches
312,Mateus Henrique,br BRA,DF,América (MG),20,2002,6.0,12,2.01,11,0,1,0,0,0,3,0.50,2,0,1,0,0,0,Matches
313,Paulo Henrique,br BRA,DF,Vasco da Gama,26,1996,9.5,29,3.07,22,3,3,1,0,0,2,0.21,2,0,0,0,0,0,Matches
314,Pedro Henrique,br BRA,DF,Ath Paranaense,27,1995,9.5,5,0.53,4,0,0,0,0,1,1,0.11,1,0,0,0,0,0,Matches
315,Pedro Henrique,br BRA,"DF,MF",Ath Paranaense,20,2002,4.0,3,0.75,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
316,Pedro Henrique,br BRA,"FW,MF",Internacional,32,1990,14.1,47,3.33,27,1,5,6,7,1,6,0.43,3,0,1,0,1,1,Matches
317,Breno Herculano,br BRA,"FW,MF",Goiás,23,1999,0.9,1,1.15,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
318,Hércules,br BRA,MF,Fortaleza,22,2000,8.6,17,1.98,13,0,1,1,0,2,1,0.12,0,0,0,0,0,1,Matches
319,Diego Hernández,uy URU,FW,Botafogo (RJ),22,2000,0.5,1,2.20,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
320,Nicolás Hernández,co COL,DF,Internacional,25,1998,14.4,12,0.83,10,0,0,1,1,0,3,0.21,3,0,0,0,0,0,Matches
321,Lucca Holanda,br BRA,FW,Internacional,19,2003,6.1,19,3.10,13,0,1,2,2,1,1,0.16,1,0,0,0,0,0,Matches
322,Hugo,br BRA,DF,Goiás,25,1997,15.8,33,2.09,25,7,1,0,0,0,1,0.06,1,0,0,0,0,0,Matches
323,Hugo,br BRA,DF,Botafogo (RJ),21,2001,15.5,36,2.32,25,11,0,0,0,0,2,0.13,2,0,0,0,0,0,Matches
324,Victor Hugo,br BRA,"MF,FW",Flamengo,18,2004,14.2,33,2.33,24,1,4,4,0,0,3,0.21,3,0,0,0,0,0,Matches
325,Vitor Hugo,br BRA,DF,Bahia,31,1991,23.7,13,0.55,12,0,0,1,0,0,1,0.04,1,0,0,0,0,0,Matches
326,Hulk,br BRA,FW,Atlético Mineiro,36,1986,32.7,157,4.80,70,14,22,15,34,2,22,0.67,13,1,3,1,4,0,Matches
327,José Hurtado,ec ECU,DF,RB Bragantino,21,2001,18.0,34,1.89,26,4,4,0,0,0,0,0.00,0,0,0,0,0,0,Matches
328,Hyoran,br BRA,"MF,FW",Atlético Mineiro,29,1993,7.7,31,4.04,20,6,1,3,1,0,1,0.13,1,0,0,0,0,0,Matches
329,Igor,br BRA,MF,Flamengo,19,2003,0.9,1,1.15,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
330,André Inácio,br BRA,FW,Flamengo,20,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
331,Gabriel Inocêncio,br BRA,DF,Santos,28,1994,14.2,23,1.62,18,2,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
332,Isaac,br BRA,FW,Atlético Mineiro,18,2004,0.2,1,11.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
333,Isaac,br BRA,"MF,DF",Fluminense,18,2004,1.5,9,6.18,5,0,2,0,1,1,1,0.69,1,0,0,0,0,0,Matches
334,Juan Iturbe,py PAR,"FW,MF",Grêmio,29,1993,0.8,1,1.32,0,0,0,0,0,1,1,1.32,0,0,0,0,0,1,Matches
335,Zé Ivaldo,br BRA,DF,Ath Paranaense,25,1997,11.3,8,0.71,7,0,1,0,0,0,2,0.18,2,0,0,0,0,0,Matches
336,Ivonei,br BRA,MF,Santos,20,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
337,Vítor Jacaré,br BRA,"DF,MF",Bahia,23,1999,9.8,26,2.83,18,2,1,2,1,2,2,0.22,0,0,1,0,0,1,Matches
338,Jadsom,br BRA,MF,RB Bragantino,21,2001,21.1,55,2.61,48,2,0,3,1,1,2,0.10,2,0,0,0,0,0,Matches
339,Jair,br BRA,MF,Vasco da Gama,28,1994,17.7,53,3.00,45,1,2,1,4,0,4,0.23,2,0,1,0,1,0,Matches
340,Jamerson,br BRA,"DF,FW",Coritiba,24,1998,21.0,43,2.05,29,4,7,2,0,1,4,0.19,2,1,1,0,0,0,Matches
341,Janderson,br BRA,"FW,MF",Botafogo (RJ),23,1999,4.6,17,3.70,15,0,2,0,0,0,2,0.43,2,0,0,0,0,0,Matches
342,Jandrei,br BRA,GK,São Paulo,29,1993,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
343,Léo Jardim,br BRA,GK,Vasco da Gama,27,1995,38.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
344,Jemerson,br BRA,DF,Atlético Mineiro,30,1992,27.5,15,0.55,11,0,0,4,0,0,2,0.07,1,0,0,1,0,0,Matches
345,Jesé,es ESP,MF,Coritiba,29,1993,1.1,4,3.75,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
346,Alexandre Jesus,br BRA,DF,Fluminense,21,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
347,Jhon Jhon,br BRA,"MF,FW",Palmeiras,20,2002,9.9,37,3.73,26,3,3,3,2,0,3,0.30,3,0,0,0,0,0,Matches
348,Jhow,br BRA,DF,América (MG),19,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
349,Joaquim,br BRA,DF,Santos,24,1998,30.3,29,0.96,20,0,1,5,1,2,5,0.16,2,0,0,2,1,0,Matches
350,John,br BRA,GK,Internacional,26,1996,9.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
351,Felipe Jonatan,br BRA,DF,Santos,24,1998,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
352,Jori,br BRA,GK,América (MG),26,1996,11.0,2,0.18,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
353,Josué,br BRA,MF,Grêmio,17,2005,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
354,Luciano Juba,br BRA,"DF,MF",Bahia,23,1999,7.2,32,4.45,13,18,0,1,0,0,2,0.28,1,1,0,0,0,0,Matches
355,Juninho,br BRA,MF,América (MG),35,1987,32.5,97,2.99,78,1,5,8,3,2,9,0.28,8,0,0,0,1,0,Matches
356,Daniel Júnior,br BRA,MF,Cruzeiro,20,2002,0.3,6,22.50,4,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
357,Pedrinho Junqueira,br BRA,"FW,MF",Goiás,18,2004,2.2,8,3.69,6,0,1,0,0,1,1,0.46,1,0,0,0,0,0,Matches
358,Jussa,br BRA,MF,Cruzeiro,26,1996,19.6,22,1.12,20,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
359,Justen,br BRA,DF,Fluminense,19,2003,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
360,Kaiki,br BRA,"DF,FW",Cruzeiro,19,2003,2.5,5,1.97,3,0,1,0,1,0,2,0.79,0,0,1,0,1,0,Matches
361,Lucas Kal,br BRA,MF,América (MG),26,1996,13.7,29,2.11,29,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
