Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Nabil Aberdin,FRA,DF,Getafe,20,2002,2.0,0,0,0,1,1,0,0,0,0,0,0,0,10,4,6,40.0
Abner,BRA,DF,Betis,23,2000,15.6,3,0,0,16,2,2,26,15,19,0,1,0,79,14,10,58.3
Abdel Abqar,MAR,DF,Alavés,24,1999,25.7,10,0,0,33,23,1,2,23,19,0,2,1,109,39,36,52.0
Marcos Acuña,ARG,DF,Sevilla,31,1991,14.4,7,0,0,18,17,1,82,4,21,0,0,0,99,13,11,54.2
Julen Agirrezabala,ESP,GK,Athletic Club,22,2000,2.6,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,100.0
Lucien Agoume,FRA,MF,Sevilla,21,2002,8.6,3,0,0,19,2,0,2,7,18,0,0,0,48,9,7,56.3
Joseph Aidoo,GHA,DF,Celta Vigo,27,1995,4.5,0,0,0,4,0,0,0,4,3,0,0,0,22,14,9,60.9
Ilias Akhomach,MAR,"MF,FW",Villarreal,19,2004,16.8,4,0,0,41,35,4,29,13,21,0,0,0,70,3,7,30.0
Sergio Akieme,ESP,DF,Almería,25,1997,18.6,2,0,0,18,17,1,57,10,15,0,2,0,99,10,15,40.0
Paul Akouokou,CIV,MF,Betis,25,1997,0.3,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,
David Alaba,AUT,DF,Real Madrid,31,1992,12.8,2,0,0,4,0,0,17,15,9,0,0,1,63,10,9,52.6
Raúl Albiol,ESP,DF,Villarreal,37,1985,22.6,6,0,0,21,8,1,0,16,14,0,0,0,75,46,29,61.3
Rubén Alcaraz,ESP,MF,Cádiz,32,1991,34.8,14,0,0,84,71,1,36,33,59,0,0,0,234,47,49,49.0
