Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Junior Adamu,AUT,FW,Freiburg,23,2001,17.2,5,1,0,38,22,17,5,12,3,0,0,0,52,53,108,32.9
Karim Adeyemi,GER,"FW,MF",Dortmund,22,2002,15.9,4,0,0,27,18,4,26,7,14,0,0,0,48,9,13,40.9
Amine Adli,MAR,"MF,FW",Leverkusen,24,2000,8.5,3,0,0,15,9,7,33,0,9,2,0,0,30,21,26,44.7
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,26,1998,18.2,3,0,0,21,42,9,53,8,8,1,0,0,72,19,45,29.7
Felix Agu,NGA,DF,Werder Bremen,24,1999,19.5,1,0,0,11,43,4,49,21,14,0,0,1,67,21,30,41.2
Erik Ahlstrand,SWE,"FW,MF",St. Pauli,22,2001,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0.0
Kevin Akpoguma,NGA,DF,Hoffenheim,29,1995,24.7,3,0,0,25,23,1,12,29,27,0,4,0,107,48,47,50.5
Andreas Albers,DEN,FW,St. Pauli,34,1990,0.7,0,0,0,3,2,0,0,0,1,0,0,0,3,10,12,45.5
Ben Alexander Voll,GER,GK,St. Pauli,23,2000,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Skelly Alvero,FRA,MF,Werder Bremen,22,2002,2.6,1,0,0,7,5,0,0,2,6,0,0,0,13,5,3,62.5
Aurele Amenda,SUI,DF,Eint Frankfurt,21,2003,1.1,1,0,0,3,2,0,0,2,0,0,0,0,2,8,3,72.7
Nadiem Amiri,GER,MF,Mainz 05,27,1996,27.5,9,2,1,44,51,2,166,16,23,0,0,0,207,16,17,48.5
Mohamed Amoura,ALG,FW,Wolfsburg,24,2000,27.4,6,0,0,30,20,24,35,9,22,1,0,0,92,19,45,29.7
Robert Andrich,GER,"MF,DF",Leverkusen,29,1994,17.8,7,0,0,29,17,0,12,29,12,0,1,0,73,21,12,63.6
Waldemar Anton,GER,DF,Dortmund,28,1996,21.7,4,0,0,20,20,1,24,30,21,0,0,1,122,46,27,63.0
Maximilian Arnold,GER,MF,Wolfsburg,30,1994,26.2,7,1,0,30,52,0,152,24,20,0,0,0,154,14,23,37.8
Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,24,2000,7.9,8,1,1,20,18,2,24,3,10,0,0,0,21,2,13,13.3
Arthur,BRA,DF,Leverkusen,21,2003,8.4,1,0,0,20,6,0,16,9,11,0,1,0,31,10,12,45.5
Noah Atubolu,GER,GK,Freiburg,22,2002,25.6,2,0,0,0,0,0,0,0,0,0,0,0,53,10,1,90.9
Ayman Azhil,MAR,MF,Dortmund,23,2001,0.3,1,0,0,2,0,1,0,0,1,0,0,0,2,0,0,
Adam Aznou,MAR,DF,Bayern Munich,18,2006,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
Aliou Badara Baldé,GUI,"MF,FW",Bochum,21,2002,1.0,1,0,0,1,0,2,4,0,1,0,0,0,3,0,2,0.0
Ridle Baku,GER,"FW,MF",Wolfsburg,26,1998,13.0,2,0,0,13,10,1,37,15,15,0,0,0,68,5,16,23.8
Ridle Baku,GER,"DF,MF",RB Leipzig,26,1998,14.2,1,0,0,13,14,3,34,9,19,0,0,0,45,10,17,37.0
Samuel Bamba,GER,"FW,MF",Bochum,20,2004,0.3,0,0,0,0,1,1,5,0,1,0,0,0,2,1,2,33.3
Noahkai Banks,USA,DF,Augsburg,17,2006,3.1,2,0,0,2,1,0,2,5,5,0,0,1,13,8,8,50.0
Scott Banks,SCO,"FW,MF",St. Pauli,22,2001,1.3,1,0,0,2,4,0,5,2,1,0,0,0,4,1,6,14.3
Aymen Barkok,MAR,MF,Mainz 05,26,1998,0.8,0,0,0,2,1,0,5,2,1,0,0,0,4,2,5,28.6
Michy Batshuayi,BEL,FW,Eint Frankfurt,30,1993,3.3,2,0,0,6,2,4,1,1,1,0,0,0,10,3,8,27.3
Maximilian Bauer,GER,DF,Augsburg,24,2000,7.3,1,0,0,7,13,0,4,6,8,0,0,0,20,19,12,61.3
Oliver Baumann,GER,GK,Hoffenheim,34,1990,28.0,1,0,0,0,6,0,0,0,2,0,0,0,53,8,0,100.0
Christoph Baumgartner,AUT,MF,RB Leipzig,24,1999,17.9,5,0,0,44,29,4,14,12,28,0,0,0,86,41,39,51.3
Ihlas Bebou,TOG,MF,Hoffenheim,30,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adrian Beck,GER,"MF,FW",Heidenheim,27,1997,17.8,1,0,0,16,14,2,32,9,17,0,0,0,131,29,20,59.2
Timo Becker,GER,DF,Holstein Kiel,27,1997,27.2,2,0,0,9,9,0,22,17,33,0,0,0,98,31,38,44.9
Hannes Behrens,GER,DF,Hoffenheim,19,2005,0.3,0,0,0,0,1,0,0,2,1,0,0,0,3,1,0,100.0
Kevin Behrens,GER,FW,Wolfsburg,33,1991,1.9,2,0,0,4,1,1,0,1,1,0,0,0,9,14,16,46.7
Maximilian Beier,GER,"FW,MF",Dortmund,21,2002,17.7,2,0,0,17,16,9,16,7,16,0,0,0,49,23,20,53.5
Stefan Bell,GER,DF,Mainz 05,32,1991,16.0,4,0,0,24,10,3,0,28,12,0,0,0,65,83,37,69.2
Jeanuël Belocian,FRA,"DF,MF",Leverkusen,19,2005,0.8,1,0,0,1,4,0,0,0,1,0,0,0,2,1,2,33.3
László Bénes,SVK,"MF,FW",Union Berlin,26,1997,6.5,4,0,0,9,4,1,48,3,2,0,0,0,32,7,9,43.8
Ramy Bensebaini,ALG,DF,Dortmund,29,1995,22.5,6,0,0,28,24,0,36,33,25,0,0,0,100,41,25,62.1
Mergim Berisha,GER,"FW,MF",Hoffenheim,26,1998,3.7,1,0,0,5,5,3,3,0,3,0,0,0,10,3,14,17.6
Mergim Berisha,GER,FW,Augsburg,26,1998,0.4,1,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0.0
Bernardo,BRA,DF,Bochum,29,1995,19.8,5,0,0,24,11,0,14,26,28,0,0,0,83,90,43,67.7
Alexander Bernhardsson,SWE,"FW,MF",Holstein Kiel,25,1998,14.0,3,0,0,21,15,2,34,5,15,1,0,0,45,19,34,35.8
Matúš Bero,SVK,MF,Bochum,28,1995,28.5,11,0,0,50,34,1,124,17,35,0,0,0,164,22,43,33.8
Jan-Niklas Beste,GER,"FW,MF",Freiburg,25,1999,2.4,0,0,0,3,6,1,20,1,1,0,0,0,16,1,4,20.0
El Bilal Touré,MLI,"FW,MF",Stuttgart,22,2001,4.0,0,0,0,9,3,1,0,0,1,0,0,0,8,19,14,57.6
Tom Bischof,GER,"MF,FW",Hoffenheim,19,2005,28.4,5,0,0,45,33,1,145,30,53,0,0,0,156,14,19,42.4
Leonardo Bittencourt,GER,MF,Werder Bremen,30,1993,10.9,3,0,0,15,19,2,22,15,9,0,0,0,44,5,15,25.0
Myron Boadu,NED,FW,Bochum,23,2001,11.6,2,0,0,11,6,12,3,1,1,0,0,0,20,19,20,48.7
Sacha Boey,FRA,DF,Bayern Munich,23,2000,6.6,1,0,0,7,7,0,11,2,5,0,1,0,38,6,9,40.0
Victor Boniface,NGA,FW,Leverkusen,23,2000,11.2,2,0,0,14,8,7,6,0,4,0,0,0,28,32,22,59.3
Sebastiaan Bornauw,BEL,DF,Wolfsburg,25,1999,8.8,2,0,0,12,2,0,1,12,6,0,1,0,28,36,21,63.2
Carlo Boukhalfa,MAR,MF,St. Pauli,25,1999,18.3,1,0,0,18,17,2,10,12,11,0,0,0,60,23,42,35.4
Julian Brandt,GER,MF,Dortmund,28,1996,25.6,1,0,0,8,9,5,71,14,11,0,0,0,119,11,29,27.5
Tim Breithaupt,GER,MF,Augsburg,22,2002,1.3,0,0,0,2,3,0,1,2,1,0,0,0,9,4,5,44.4
Maximilian Breunig,GER,"FW,MF",Heidenheim,23,2000,3.9,0,0,0,8,5,1,1,1,3,0,0,0,13,9,31,22.5
Moritz Broschinski,GER,"FW,MF",Bochum,23,2000,15.4,1,0,0,27,18,5,28,1,14,0,0,0,64,31,42,42.5
Nathaniel Brown,GER,"DF,MF",Eint Frankfurt,21,2003,21.6,2,0,0,15,22,0,92,15,42,0,0,0,81,5,18,21.7
Jacob Bruun Larsen,DEN,"FW,MF",Hoffenheim,25,1998,4.4,0,0,0,2,2,3,19,1,3,0,0,0,16,5,3,62.5
Jacob Bruun Larsen,DEN,"MF,FW",Stuttgart,25,1998,4.6,1,0,0,2,2,6,18,1,1,0,0,0,11,3,6,33.3
Emi Buendía,ARG,MF,Leverkusen,27,1996,2.9,0,0,0,6,7,0,3,0,5,0,0,0,20,5,3,62.5
Marius Bülter,GER,"FW,DF",Hoffenheim,31,1993,19.2,4,0,0,11,36,6,84,4,10,1,0,0,63,18,28,39.1
Jonathan Burkardt,GER,FW,Mainz 05,24,2000,23.4,0,0,0,23,24,11,27,1,8,1,0,0,73,20,85,19.0
Oliver Burke,SCO,FW,Werder Bremen,27,1997,10.1,4,0,0,12,2,8,20,2,4,0,0,0,26,40,21,65.6
Marnon Busch,GER,"DF,MF",Heidenheim,29,1994,15.5,1,0,0,8,7,0,52,13,17,0,1,0,62,13,15,46.4
Anthony Caci,FRA,DF,Mainz 05,27,1997,29.8,6,0,0,37,11,15,133,27,40,0,0,0,131,35,33,51.5
Cole Campbell,USA,"MF,FW",Dortmund,18,2006,0.2,0,0,0,1,1,0,1,0,0,0,0,0,3,0,2,0.0
