Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Jones El-Abdellaoui,MAR,"FW,MF",Celta Vigo,19-345,2006,2.2,46,67,68.7,714,75,28,33,84.8,14,18,77.8,3,6,50.0,0,0.1,0.1,-0.1,3,1,1,1,0
Abdel Abqar,MAR,DF,Getafe,26-288,1999,7.7,178,247,72.1,4249,1471,39,52,75.0,96,110,87.3,40,78,51.3,1,0.4,0.4,0.6,3,17,1,0,11
David Affengruber,AUT,DF,Elche,24-279,2001,15.3,823,948,86.8,14314,5048,348,378,92.1,415,447,92.8,48,105,45.7,0,0.2,0.4,-0.2,3,65,4,0,54
Julen Agirrezabala,ESP,GK,Valencia,24-362,2000,17.0,387,535,72.3,10207,7420,78,79,98.7,201,203,99.0,106,251,42.2,0,0.0,0.0,0.0,1,6,0,0,1
Lucien Agoume,FRA,MF,Sevilla,23-317,2002,11.6,433,549,78.9,7304,2358,205,230,89.1,170,198,85.9,40,77,51.9,2,1.7,0.8,0.3,11,61,13,2,67
Marc Aguado,ESP,MF,Elche,25-304,2000,12.0,560,616,90.9,8095,2409,317,337,94.1,202,214,94.4,17,27,63.0,0,0.0,0.3,0.0,1,69,3,1,46
Pablo Agudín,ESP,"MF,FW",Oviedo,18-045,2007,0.8,6,12,50.0,90,14,5,5,100.0,0,4,0.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,1
Lucas Ahijado,ESP,DF,Oviedo,30-327,1995,5.6,222,287,77.4,3807,1249,106,122,86.9,97,117,82.9,17,36,47.2,1,0.5,0.7,0.5,4,12,8,4,17
Joseph Aidoo,GHA,DF,Celta Vigo,30-085,1995,1.2,37,41,90.2,644,157,13,13,100.0,23,26,88.5,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Ilias Akhomach,MAR,"MF,FW",Villarreal,21-251,2004,2.1,56,72,77.8,939,220,28,28,100.0,19,28,67.9,7,10,70.0,0,0.7,0.4,-0.7,5,4,5,2,7
Adams Akor,NGA,FW,Sevilla,25-328,2000,9.5,86,148,58.1,1342,183,41,71,57.7,32,48,66.7,4,10,40.0,2,0.8,0.2,1.2,4,4,2,0,8
David Alaba,AUT,DF,Real Madrid,33-182,1992,0.6,48,50,96.0,800,324,22,22,100.0,25,25,100.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,2
Alexandre Alemão,BRA,FW,Rayo Vallecano,27-266,1998,6.2,59,94,62.8,873,201,34,47,72.3,17,30,56.7,4,5,80.0,0,0.1,0.1,-0.1,3,3,2,0,6
Carles Aleñá,ESP,"MF,FW",Alavés,27-352,1998,10.2,375,466,80.5,5816,1477,205,224,91.5,130,147,88.4,24,59,40.7,3,1.0,1.3,2.0,13,42,7,5,34
Trent Alexander-Arnold,ENG,DF,Real Madrid,27-077,1998,4.4,277,360,76.9,5011,1505,136,146,93.2,93,116,80.2,40,82,48.8,1,1.0,1.4,0.0,8,26,4,3,17
Alfon,ESP,"FW,DF",Sevilla,26-233,1999,3.5,66,82,80.5,952,237,40,44,90.9,24,31,77.4,1,3,33.3,0,0.3,0.2,-0.3,6,6,3,0,10
Thiago Almada,ARG,"MF,FW",Atlético Madrid,24-241,2001,4.8,214,258,82.9,3415,801,106,117,90.6,87,96,90.6,12,27,44.4,1,1.0,0.7,0.0,8,19,8,1,29
Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,25-207,2000,7.1,326,394,82.7,5880,1527,139,151,92.1,134,154,87.0,42,67,62.7,1,1.0,1.0,0.0,9,50,11,3,64
Marcos Alonso,ESP,DF,Celta Vigo,34-360,1990,12.9,920,1034,89.0,17318,5511,345,365,94.5,462,495,93.3,96,141,68.1,0,0.4,0.8,-0.4,4,90,7,2,83
Adrià Altimira,ESP,DF,Villarreal,24-270,2001,0.1,8,8,100.0,130,48,5,5,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1
Sergi Altimira,ESP,MF,Betis,24-120,2001,6.0,303,333,91.0,5006,1197,152,160,95.0,114,125,91.2,29,36,80.6,1,0.2,0.3,0.8,4,26,0,0,15
Carlos Álvarez,ESP,"MF,FW",Levante,22-139,2003,12.4,346,457,75.7,5702,2003,170,201,84.6,137,177,77.4,27,52,51.9,1,2.7,2.8,-1.7,22,53,18,0,71
Hugo Álvarez,ESP,"FW,MF",Celta Vigo,22-174,2003,4.0,147,181,81.2,2094,485,82,96,85.4,52,59,88.1,5,7,71.4,0,0.3,0.2,-0.3,7,7,6,0,18
Julián Álvarez,ARG,FW,Atlético Madrid,25-326,2000,14.6,414,529,78.3,6922,1881,207,241,85.9,154,179,86.0,37,71,52.1,3,4.6,3.6,-1.6,36,25,31,5,64
Sofyan Amrabat,MAR,MF,Betis,29-124,1996,6.7,394,439,89.7,6969,1873,172,187,92.0,175,188,93.1,35,45,77.8,0,0.2,0.2,-0.2,4,29,2,0,43
Miguel Ángel Rubio,ESP,DF,Espanyol,27-287,1998,1.5,41,51,80.4,633,287,19,21,90.5,19,23,82.6,2,6,33.3,0,0.0,0.0,0.0,0,1,0,0,1
Miguel Ángel Sierra,ESP,"FW,MF",Sevilla,21-162,2004,0.3,13,18,72.2,240,39,6,6,100.0,5,7,71.4,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Antoniu,ESP,"FW,MF",Espanyol,23-109,2002,1.0,23,30,76.7,381,128,10,11,90.9,11,14,78.6,1,1,100.0,0,0.1,0.2,-0.1,2,1,2,2,5
Antony,BRA,FW,Betis,25-302,2000,11.1,430,549,78.3,5954,1556,255,289,88.2,125,163,76.7,21,45,46.7,2,1.8,2.3,0.2,23,24,17,3,53
Mauro Arambarri,URU,MF,Getafe,30-084,1995,16.6,300,396,75.8,4866,1259,150,182,82.4,115,143,80.4,27,45,60.0,0,0.3,0.3,-0.3,6,35,3,1,45
Jon Aramburu,VEN,DF,Real Sociedad,23-153,2002,14.0,599,783,76.5,9499,3596,321,353,90.9,229,309,74.1,38,77,49.4,0,0.3,0.4,-0.3,7,59,6,5,62
Juan Arango,VEN,FW,Girona,19-205,2006,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Ronald Araújo,URU,DF,Barcelona,26-291,1999,7.2,444,480,92.5,7651,2735,184,189,97.4,230,243,94.7,24,37,64.9,0,0.0,0.1,0.0,1,34,0,0,29
Jesús Areso,ESP,DF,Athletic Club,26-174,1999,10.8,415,551,75.3,7179,2242,185,209,88.5,189,258,73.3,34,59,57.6,1,1.2,1.0,-0.2,13,25,17,10,28
Iñigo Arguibide,ESP,DF,Osasuna,20-248,2005,1.9,36,57,63.2,547,349,20,25,80.0,13,16,81.3,2,11,18.2,0,0.1,0.0,-0.1,1,2,0,0,5
Kervin Arriaga,HON,MF,Levante,27-352,1998,9.0,332,402,82.6,5733,1774,147,167,88.0,152,172,88.4,28,42,66.7,0,0.1,0.3,-0.1,2,37,2,1,30
Takuma Asano,JPN,"FW,MF",Mallorca,31-043,1994,3.8,44,66,66.7,531,89,33,41,80.5,11,15,73.3,0,1,0.0,0,0.9,0.8,-0.9,2,2,1,0,2
Raúl Asencio,ESP,DF,Real Madrid,22-313,2003,8.5,468,501,93.4,7828,2317,229,240,95.4,209,214,97.7,24,35,68.6,0,0.1,0.3,-0.1,3,34,4,0,31
Iago Aspas,ESP,"FW,MF",Celta Vigo,38-144,1987,7.3,309,407,75.9,5267,1747,156,181,86.2,103,129,79.8,35,61,57.4,2,3.0,2.0,-1.0,19,43,21,3,72
Yaser Asprilla,COL,"FW,MF",Girona,22-034,2003,6.6,138,186,74.2,2691,776,59,66,89.4,55,74,74.3,22,33,66.7,0,1.7,1.4,-1.7,12,10,9,1,22
Lander Astiazaran,ESP,MF,Real Sociedad,19-260,2006,0.0,1,4,25.0,8,0,1,3,33.3,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Ezequiel Ávila,ARG,"FW,MF",Betis,31-320,1994,0.6,13,18,72.2,172,69,6,7,85.7,3,5,60.0,1,3,33.3,0,0.0,0.0,0.0,0,1,1,0,2
César Azpilicueta,ESP,DF,Sevilla,36-117,1989,7.5,399,471,84.7,7089,2781,171,183,93.4,186,207,89.9,36,69,52.2,0,0.0,0.1,0.0,1,23,2,1,20
Alex Baena,ESP,"MF,FW",Atlético Madrid,24-156,2001,6.1,212,299,70.9,3882,1285,92,101,91.1,92,121,76.0,28,54,51.9,1,2.5,1.8,-1.5,17,18,21,4,37
Eric Bailly,CIV,DF,Oviedo,31-255,1994,4.0,170,190,89.5,3512,1124,29,31,93.5,125,131,95.4,15,26,57.7,0,0.0,0.2,0.0,0,5,0,0,5
Cédric Bakambu,COD,FW,Betis,34-256,1991,0.8,11,17,64.7,118,10,9,12,75.0,0,3,0.0,1,1,100.0,0,0.0,0.0,0.0,1,1,0,0,0
Alejandro Balde,ESP,DF,Barcelona,22-066,2003,11.5,642,710,90.4,8619,1683,397,414,95.9,206,226,91.2,14,24,58.3,2,1.2,1.5,0.8,13,30,11,2,59
Iván Balliu,ALB,DF,Rayo Vallecano,33-356,1992,2.2,125,149,83.9,2132,843,52,59,88.1,63,71,88.7,8,15,53.3,0,0.0,0.2,0.0,1,13,1,0,25
Roony Bardghji,SWE,FW,Barcelona,20-038,2005,2.7,111,143,77.6,1657,354,61,72,84.7,37,47,78.7,8,15,53.3,1,1.0,1.0,0.0,6,4,9,4,13
Kike Barja,ESP,"FW,MF",Osasuna,28-266,1997,1.8,33,62,53.2,605,125,20,23,87.0,4,17,23.5,7,15,46.7,0,0.3,0.2,-0.3,2,1,3,3,1
Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,23-361,2001,10.9,335,452,74.1,5528,1542,164,184,89.1,128,161,79.5,30,64,46.9,3,3.6,2.8,-0.6,25,18,16,4,49
Pablo Barrios,ESP,MF,Atlético Madrid,22-191,2003,14.5,739,853,86.6,12299,3355,370,400,92.5,282,317,89.0,66,92,71.7,0,0.7,1.6,-0.7,13,92,26,6,98
Marc Bartra,ESP,DF,Betis,34-342,1991,12.1,508,592,85.8,9818,3323,185,194,95.4,254,273,93.0,60,106,56.6,0,0.0,0.2,0.0,2,35,3,0,23
Augusto Batalla,ARG,GK,Rayo Vallecano,29-237,1996,17.0,456,658,69.3,13601,10762,80,80,100.0,195,202,96.5,180,373,48.3,0,0.0,0.1,0.0,2,21,2,0,2
Samu Becerra,ESP,"DF,MF",Rayo Vallecano,19-356,2006,0.1,12,14,85.7,157,46,7,8,87.5,4,5,80.0,0,0,,0,0.0,0.1,0.0,1,0,1,1,0
Sheraldo Becker,SUR,"MF,FW",Osasuna,30-317,1995,1.8,34,58,58.6,607,207,19,24,79.2,13,21,61.9,2,6,33.3,0,0.3,0.1,-0.3,2,2,3,1,4
Donny van de Beek,NED,MF,Girona,28-249,1997,0.5,13,14,92.9,198,47,7,7,100.0,6,7,85.7,0,0,,0,0.0,0.1,0.0,0,2,0,0,2
Ismael Bekhoucha,MAR,DF,Getafe,21-033,2004,1.2,14,24,58.3,263,142,8,11,72.7,4,6,66.7,2,4,50.0,1,1.0,0.0,0.0,1,2,0,0,2
Héctor Bellerín,ESP,DF,Betis,30-279,1995,11.2,543,637,85.2,8177,3053,303,327,92.7,203,234,86.8,24,47,51.1,2,2.0,1.7,0.0,17,37,13,6,47
Jude Bellingham,ENG,MF,Real Madrid,22-177,2003,11.2,537,605,88.8,9238,1956,252,279,90.3,218,231,94.4,54,70,77.1,3,2.3,1.3,0.7,24,76,13,1,100
Fran Beltrán,ESP,MF,Celta Vigo,26-323,1999,5.9,287,319,90.0,4889,1244,125,133,94.0,139,148,93.9,17,25,68.0,0,0.1,0.2,-0.1,1,33,1,0,31
Lucas Beltrán,ARG,FW,Valencia,24-269,2001,6.2,117,151,77.5,1697,384,65,71,91.5,42,55,76.4,5,5,100.0,0,0.8,0.4,-0.8,5,16,2,0,22
Carlos Benavídez,URU,"MF,DF",Alavés,27-268,1998,0.6,19,23,82.6,310,40,12,13,92.3,5,6,83.3,2,2,100.0,0,0.0,0.0,0.0,1,1,0,0,2
