Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Daniel Karlsbakk,NOR,FW,Heerenveen,21.0,2003.0,7,3,273,3.0,0,0,0,0,0,0,2,0,0.6,0.6,0.0,0.6,4,7,26,0.0,0.0,0.0,0.0,0.0,0.18,0.01,0.2,0.18,0.2
Souffian El Karouani,MAR,DF,Utrecht,23.0,2000.0,34,34,2971,33.0,2,8,10,2,0,0,3,0,1.8,1.8,6.5,8.3,98,129,188,0.06,0.24,0.3,0.06,0.3,0.05,0.2,0.25,0.05,0.25
Rick Karsdorp,NED,DF,PSV Eindhoven,29.0,1995.0,12,7,678,7.5,0,2,2,0,0,0,1,0,0.0,0.0,1.7,1.8,9,55,25,0.0,0.27,0.27,0.0,0.27,0.01,0.23,0.23,0.01,0.23
Neraysho Kasanwirjo,NED,DF,Feyenoord,22.0,2002.0,2,1,113,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,1,12,2,0.0,0.0,0.0,0.0,0.0,0.1,0.16,0.25,0.1,0.25
Denso Kasius,NED,DF,AZ Alkmaar,21.0,2002.0,30,13,1356,15.1,3,3,6,3,0,0,2,0,1.5,1.5,3.9,5.4,58,39,116,0.2,0.2,0.4,0.2,0.4,0.1,0.26,0.36,0.1,0.36
Adam Kayed,PLE,"MF,DF",NAC Breda,22.0,2002.0,16,5,466,5.2,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,17,8,32,0.19,0.0,0.19,0.19,0.19,0.11,0.05,0.16,0.11,0.16
Dennis Kaygin,GER,MF,Willem II,20.0,2004.0,9,1,232,2.6,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,1,8,8,0.0,0.39,0.39,0.0,0.39,0.0,0.08,0.08,0.0,0.08
Emilio Kehrer,GER,"FW,MF",Willem II,22.0,2002.0,23,9,979,10.9,1,3,4,1,0,0,1,0,1.7,1.7,1.7,3.4,23,13,77,0.09,0.28,0.37,0.09,0.37,0.15,0.16,0.31,0.15,0.31
Fabian de Keijzer,NED,GK,Heracles Almelo,24.0,2000.0,34,34,3060,34.0,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0
Boy Kemper,NED,DF,NAC Breda,25.0,1999.0,29,28,2407,26.7,1,3,4,1,0,0,9,0,1.2,1.2,3.8,5.0,58,97,91,0.04,0.11,0.15,0.04,0.15,0.04,0.14,0.19,0.04,0.19
Sam Kersten,NED,DF,Heerenveen,26.0,1998.0,30,28,2380,26.4,1,1,2,1,0,0,2,0,1.2,1.2,0.4,1.6,9,100,3,0.04,0.04,0.08,0.04,0.08,0.05,0.01,0.06,0.05,0.06
Joey Kesting,NED,GK,RKC Waalwijk,23.0,2001.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Kitolano,NOR,MF,Sparta R'dam,22.0,2001.0,27,18,1582,17.6,0,2,2,0,0,0,2,0,2.0,2.0,1.3,3.3,20,65,45,0.0,0.11,0.11,0.0,0.11,0.11,0.08,0.19,0.11,0.19
Mathias Kjølø,NOR,MF,Twente,23.0,2001.0,22,8,865,9.6,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.6,8,56,21,0.0,0.1,0.1,0.0,0.1,0.02,0.05,0.06,0.02,0.06
Davy Klaassen,NED,MF,Ajax,31.0,1993.0,31,24,2177,24.2,8,2,10,7,1,1,0,0,4.3,3.5,2.6,6.1,11,99,67,0.33,0.08,0.41,0.29,0.37,0.18,0.11,0.29,0.15,0.25
Mike Kleijn,NED,DF,Sparta R'dam,19.0,2005.0,8,3,278,3.1,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,6,9,14,0.0,0.32,0.32,0.0,0.32,0.0,0.04,0.04,0.0,0.04
Mats Köhlert,GER,DF,Heerenveen,26.0,1998.0,28,28,2479,27.5,0,5,5,0,0,0,2,1,1.4,1.4,5.6,7.0,69,156,148,0.0,0.18,0.18,0.0,0.18,0.05,0.2,0.25,0.05,0.25
Don-Angelo Konadu,NED,FW,Ajax,18.0,2006.0,3,1,62,0.7,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,2,1,8,0.0,1.45,1.45,0.0,1.45,0.05,0.28,0.33,0.05,0.33
Terence Kongolo,NED,DF,NAC Breda,30.0,1994.0,18,8,886,9.8,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,3,26,10,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05
Luuk Koopmans,NED,GK,Fortuna Sittard,30.0,1993.0,6,6,540,6.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peer Koopmeiners,NED,"MF,DF",AZ Alkmaar,24.0,2000.0,34,33,2793,31.0,1,7,8,1,0,0,3,0,1.4,1.4,5.1,6.5,35,170,67,0.03,0.23,0.26,0.03,0.26,0.04,0.16,0.21,0.04,0.21
Hasip Korkmazyürek,GER,MF,Fortuna Sittard,21.0,2003.0,2,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.19,0.0,1.19,1.19,1.19
Roy Kortsmit,NED,GK,NAC Breda,31.0,1992.0,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Koscelník,SVK,DF,NAC Breda,29.0,1995.0,3,0,105,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,1,1,2,0.0,0.0,0.0,0.0,0.0,0.02,0.15,0.17,0.02,0.17
Kacper Kostorz,POL,"FW,MF",NAC Breda,24.0,1999.0,24,2,563,6.3,3,0,3,3,0,0,1,0,1.9,1.9,1.1,3.0,8,5,29,0.48,0.0,0.48,0.48,0.48,0.31,0.17,0.48,0.31,0.48
Joris Kramer,NED,DF,Go Ahead Eag,27.0,1996.0,34,34,3046,33.8,0,1,1,0,0,0,2,0,1.7,1.7,1.2,2.9,30,136,16,0.0,0.03,0.03,0.0,0.03,0.05,0.04,0.09,0.05,0.09
Michiel Kramer,NED,FW,RKC Waalwijk,35.0,1988.0,22,7,844,9.4,3,0,3,3,0,0,3,1,2.6,2.6,0.4,2.9,0,15,33,0.32,0.0,0.32,0.32,0.32,0.27,0.04,0.31,0.27,0.31
Filip Krastev,BUL,"FW,MF",Zwolle,22.0,2001.0,31,26,2174,24.2,6,4,10,6,0,0,6,0,3.9,3.9,4.4,8.3,73,90,136,0.25,0.17,0.41,0.25,0.41,0.16,0.18,0.34,0.16,0.34
Wessel Kuhn,NED,DF,PSV Eindhoven,17.0,2006.0,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roy Kuijpers,NED,"FW,MF",NAC Breda,24.0,2000.0,9,3,235,2.6,0,0,0,0,0,0,0,0,0.8,0.8,0.3,1.1,10,4,15,0.0,0.0,0.0,0.0,0.0,0.31,0.1,0.41,0.31,0.41
Bas Kuipers,NED,DF,Twente,29.0,1994.0,30,20,1724,19.2,3,3,6,3,0,0,2,1,2.0,2.0,3.0,5.0,25,72,104,0.16,0.16,0.31,0.16,0.31,0.1,0.16,0.26,0.1,0.26
Luka Kulenović,BIH,FW,Heracles Almelo,24.0,1999.0,24,15,1457,16.2,9,2,11,9,0,0,0,0,7.0,7.0,1.9,8.9,13,26,63,0.56,0.12,0.68,0.56,0.68,0.43,0.12,0.55,0.43,0.55
Harry Kuster,NED,"FW,MF",Twente,18.0,2005.0,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34
Dave Kwakman,NED,"MF,FW",AZ Alkmaar,19.0,2004.0,5,2,150,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dave Kwakman,NED,"FW,MF",Groningen,19.0,2004.0,15,13,1029,11.4,2,0,2,2,0,0,0,0,1.3,1.3,0.7,2.0,19,27,49,0.17,0.0,0.17,0.17,0.17,0.11,0.06,0.17,0.11,0.17
Amine Lachkar,NED,MF,Willem II,21.0,2003.0,23,21,1741,19.3,0,0,0,0,0,0,5,0,0.8,0.8,0.2,1.0,19,81,12,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
Gustaf Lagerbielke,SWE,DF,Twente,24.0,2000.0,20,15,1453,16.1,1,1,2,1,0,0,3,0,1.4,1.4,0.7,2.1,8,82,1,0.06,0.06,0.12,0.06,0.12,0.09,0.04,0.13,0.09,0.13
Samir Lagsir,NED,"MF,FW",Zwolle,21.0,2003.0,2,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.8,0.8
Mayckel Lahdo,SWE,FW,AZ Alkmaar,21.0,2002.0,21,8,869,9.7,3,1,4,3,0,0,0,0,2.0,2.0,2.0,4.0,46,23,95,0.31,0.1,0.41,0.31,0.41,0.21,0.21,0.41,0.21,0.41
Boris lambert,BEL,"MF,DF",Willem II,24.0,2000.0,26,16,1494,16.6,2,0,2,2,0,0,5,0,0.5,0.5,0.1,0.6,12,63,11,0.12,0.0,0.12,0.12,0.12,0.03,0.01,0.04,0.03,0.04
Sam Lammers,NED,FW,Twente,27.0,1997.0,21,19,1501,16.7,7,1,8,7,0,0,0,0,7.0,7.0,2.5,9.5,22,39,122,0.42,0.06,0.48,0.42,0.48,0.42,0.15,0.57,0.42,0.57
Kostas Lamprou,GRE,GK,NAC Breda,32.0,1991.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tygo Land,NED,MF,PSV Eindhoven,18.0,2006.0,5,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,3,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12
Noa Lang,NED,FW,PSV Eindhoven,25.0,1999.0,29,23,1894,21.0,11,10,21,11,0,0,1,0,5.4,5.4,6.1,11.5,167,148,261,0.52,0.48,1.0,0.52,1.0,0.26,0.29,0.55,0.26,0.55
Tobias Lauritsen,NOR,FW,Sparta R'dam,26.0,1997.0,33,32,2707,30.1,10,2,12,8,2,2,2,0,10.7,9.1,2.6,11.7,16,54,122,0.33,0.07,0.4,0.27,0.33,0.36,0.09,0.44,0.3,0.39
James Lawrence,WAL,DF,Almere City,31.0,1992.0,26,21,1755,19.5,0,1,1,0,0,0,0,0,1.2,1.2,0.6,1.8,8,56,7,0.0,0.05,0.05,0.0,0.05,0.06,0.03,0.09,0.06,0.09
Richy Ledezma,USA,DF,PSV Eindhoven,23.0,2000.0,24,21,1709,19.0,1,1,2,1,0,0,5,0,0.6,0.6,1.9,2.5,37,169,99,0.05,0.05,0.11,0.05,0.11,0.03,0.1,0.13,0.03,0.13
Clint Leemans,NED,MF,NAC Breda,28.0,1995.0,27,21,1694,18.8,3,4,7,2,1,1,4,0,2.8,2.0,4.5,6.6,22,79,78,0.16,0.21,0.37,0.11,0.32,0.15,0.24,0.39,0.11,0.35
Julian Lelieveld,NED,"DF,MF",RKC Waalwijk,26.0,1997.0,29,24,2155,23.9,0,0,0,0,0,0,3,0,0.5,0.5,0.9,1.4,13,109,45,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06
Bryan Limbombe,BEL,"MF,FW",Heracles Almelo,23.0,2001.0,14,3,374,4.2,0,0,0,0,0,0,0,0,0.6,0.6,0.5,1.2,18,5,28,0.0,0.0,0.0,0.0,0.0,0.15,0.13,0.28,0.15,0.28
Marcus Linday,SWE,MF,Heerenveen,21.0,2003.0,15,15,1264,14.0,2,2,4,2,0,0,2,0,1.2,1.2,0.9,2.1,26,80,47,0.14,0.14,0.28,0.14,0.28,0.08,0.07,0.15,0.08,0.15
Bryan Linssen,NED,FW,NEC Nijmegen,33.0,1990.0,15,9,806,9.0,4,0,4,4,0,0,3,0,3.5,3.5,0.2,3.7,7,9,29,0.45,0.0,0.45,0.45,0.45,0.39,0.02,0.41,0.39,0.41
Evert Linthorst,NED,MF,Go Ahead Eag,24.0,2000.0,33,31,2510,27.9,3,3,6,3,0,0,3,0,0.9,0.9,2.2,3.1,24,173,40,0.11,0.11,0.22,0.11,0.22,0.03,0.08,0.11,0.03,0.11
Enric Llansana,NED,MF,Go Ahead Eag,23.0,2001.0,33,31,2719,30.2,4,3,7,4,0,0,4,1,2.1,2.1,3.4,5.5,35,171,34,0.13,0.1,0.23,0.13,0.23,0.07,0.11,0.18,0.07,0.18
Chris Lokesa,BEL,"FW,MF",RKC Waalwijk,19.0,2004.0,19,11,1012,11.2,3,1,4,3,0,0,3,0,2.7,2.7,0.9,3.6,39,38,68,0.27,0.09,0.36,0.27,0.36,0.24,0.08,0.32,0.24,0.32
Tim van de Loo,,MF,RKC Waalwijk,,,27,23,1817,20.2,2,1,3,2,0,0,0,0,1.5,1.5,1.9,3.5,30,71,22,0.1,0.05,0.15,0.1,0.15,0.08,0.09,0.17,0.08,0.17
Marcos López,PER,MF,Feyenoord,24.0,1999.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,2,3,16,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26
Jordan Lotomba,SUI,DF,Feyenoord,25.0,1998.0,6,6,486,5.4,1,1,2,1,0,0,0,0,0.7,0.7,0.2,0.9,12,15,6,0.19,0.19,0.37,0.19,0.37,0.14,0.04,0.17,0.14,0.17
Hirving Lozano,MEX,FW,PSV Eindhoven,29.0,1995.0,9,2,289,3.2,4,2,6,4,0,0,0,0,2.5,2.5,0.4,2.9,18,12,61,1.25,0.62,1.87,1.25,1.87,0.79,0.12,0.91,0.79,0.91
Sayfallah Ltaief,TUN,FW,Twente,24.0,2000.0,30,11,1202,13.4,1,2,3,1,0,0,0,0,1.4,1.4,3.3,4.7,84,48,172,0.07,0.15,0.22,0.07,0.22,0.11,0.25,0.36,0.11,0.36
Boyd Lucassen,NED,"DF,FW",NAC Breda,26.0,1998.0,18,14,1224,13.6,1,1,2,1,0,0,6,0,0.7,0.7,0.7,1.4,16,30,51,0.07,0.07,0.15,0.07,0.15,0.05,0.05,0.1,0.05,0.1
Milos Lukovic,SRB,FW,Heerenveen,18.0,2005.0,13,8,724,8.0,3,0,3,2,1,2,0,0,3.9,2.3,0.3,2.7,4,5,23,0.37,0.0,0.37,0.25,0.25,0.49,0.04,0.53,0.29,0.33
Thierry Lutonda,BEL,DF,Zwolle,23.0,2000.0,11,3,472,5.2,0,0,0,0,0,0,3,1,0.2,0.2,0.1,0.3,5,16,16,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
Leftheris Lyratzis,GRE,DF,NEC Nijmegen,24.0,2000.0,15,7,684,7.6,0,2,2,0,0,0,0,0,0.2,0.2,1.7,1.9,26,19,46,0.0,0.26,0.26,0.0,0.26,0.03,0.22,0.25,0.03,0.25
Enes Mahmutovic,LUX,DF,NAC Breda,27.0,1997.0,10,9,711,7.9,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0.6,3,13,1,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08
Seiya Maikuma,JPN,DF,AZ Alkmaar,26.0,1997.0,26,21,1909,21.2,0,1,1,0,0,0,2,0,1.2,1.2,1.8,3.0,25,96,94,0.0,0.05,0.05,0.0,0.05,0.06,0.08,0.14,0.06,0.14
Tyrell Malacia,NED,DF,PSV Eindhoven,24.0,1999.0,8,3,385,4.3,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,18,30,28,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.15,0.05,0.15
Christopher Mamengi,NED,DF,Almere City,23.0,2001.0,7,1,229,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Sivert Mannsverk,NOR,MF,Ajax,22.0,2002.0,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4,8,1,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.11,0.03,0.11
Braydon Manu,GHA,"FW,DF",Zwolle,27.0,1997.0,2,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25
Elías Már Ómarsson,ISL,FW,NAC Breda,29.0,1995.0,32,29,2299,25.5,8,1,9,8,0,0,0,0,9.8,9.8,1.8,11.6,18,30,88,0.31,0.04,0.35,0.31,0.35,0.39,0.07,0.45,0.39,0.45
Richonell Margaret,SUR,FW,RKC Waalwijk,23.0,2000.0,34,28,2515,27.9,5,7,12,4,1,1,1,0,5.0,4.2,6.5,10.7,94,50,228,0.18,0.25,0.43,0.14,0.39,0.18,0.23,0.41,0.15,0.38
Maxim Mariani,NED,DF,Groningen,19.0,2004.0,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iván Márquez,ESP,DF,NEC Nijmegen,30.0,1994.0,28,24,2210,24.6,2,0,2,2,0,0,4,0,0.9,0.9,0.2,1.2,10,55,8,0.08,0.0,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05
Bruno Martins Indi,NED,DF,AZ Alkmaar,32.0,1992.0,10,6,551,6.1,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,6,35,5,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05
Matheus,BRA,GK,Ajax,32.0,1992.0,9,9,810,9.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,0,1,0,0.0,0.11,0.11,0.0,0.11,0.0,0.03,0.03,0.0,0.03
Jens Mathijsen,,DF,Willem II,,,5,1,124,1.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faiz Mattoir,COM,"FW,MF",Almere City,24.0,2000.0,11,2,283,3.1,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,12,7,24,0.0,0.0,0.0,0.0,0.0,0.08,0.13,0.22,0.08,0.22
Faissal Al Mazyani,BEL,DF,RKC Waalwijk,19.0,2005.0,22,18,1635,18.2,0,1,1,0,0,0,4,2,0.4,0.4,1.5,1.9,30,65,38,0.0,0.06,0.06,0.0,0.06,0.02,0.08,0.1,0.02,0.1
Dylan Mbayo,BEL,"FW,MF",Zwolle,22.0,2001.0,34,25,2104,23.4,4,7,11,4,0,0,2,0,3.7,3.7,2.7,6.4,116,56,221,0.17,0.3,0.47,0.17,0.47,0.16,0.11,0.27,0.16,0.27
Mexx Meerdink,NED,"FW,MF",AZ Alkmaar,21.0,2003.0,27,8,906,10.1,9,0,9,9,0,0,2,0,4.4,4.4,0.9,5.3,11,29,73,0.89,0.0,0.89,0.89,0.89,0.44,0.09,0.53,0.44,0.53
Ringo Meerveld,NED,"MF,FW",Willem II,23.0,2000.0,33,33,2900,32.2,4,2,6,4,0,0,2,0,2.4,2.4,2.3,4.6,70,125,91,0.12,0.06,0.19,0.12,0.19,0.07,0.07,0.14,0.07,0.14
Aaron Meijers,NED,DF,RKC Waalwijk,36.0,1987.0,17,9,753,8.4,0,0,0,0,0,0,1,1,0.1,0.1,0.4,0.5,11,28,22,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06
Rick Meissen,NED,DF,Sparta R'dam,22.0,2002.0,20,8,767,8.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,9,40,5,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
Rui Mendes,GER,"MF,FW",Groningen,24.0,1999.0,14,5,517,5.7,1,1,2,1,0,0,3,0,1.1,1.1,0.8,1.9,4,5,27,0.17,0.17,0.35,0.17,0.35,0.2,0.14,0.34,0.2,0.34
Julien Mesbahi,MAR,FW,Twente,18.0,2006.0,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivan Mesík,SVK,DF,Heracles Almelo,23.0,2001.0,33,33,2909,32.3,1,0,1,1,0,0,9,0,1.0,1.0,0.2,1.2,42,110,14,0.03,0.0,0.03,0.03,0.03,0.03,0.01,0.04,0.03,0.04
Metinho,BRA,MF,Sparta R'dam,21.0,2003.0,12,2,361,4.0,0,0,0,0,0,0,3,0,0.3,0.3,0.3,0.5,18,29,13,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.14,0.07,0.14
Edouard Michut,FRA,"MF,FW",Fortuna Sittard,21.0,2003.0,18,12,1028,11.4,1,0,1,1,0,0,5,1,1.7,1.7,0.1,1.7,10,23,25,0.09,0.0,0.09,0.09,0.09,0.15,0.0,0.15,0.15,0.15
Sven Mijnans,NED,MF,AZ Alkmaar,24.0,2000.0,28,26,2225,24.7,6,5,11,6,0,0,4,0,7.7,7.7,4.9,12.5,28,129,144,0.24,0.2,0.44,0.24,0.44,0.31,0.2,0.51,0.31,0.51
Antoni Milambo,NED,MF,Feyenoord,19.0,2005.0,29,25,1978,22.0,3,5,8,3,0,0,2,0,2.0,2.0,1.7,3.7,41,83,72,0.14,0.23,0.36,0.14,0.36,0.09,0.08,0.17,0.09,0.17
Lorenzo Milani,ITA,DF,Heracles Almelo,23.0,2001.0,7,3,275,3.1,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,7,5,21,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07
Mateja Milovanovic,SRB,DF,Heerenveen,20.0,2004.0,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Min,NED,FW,Utrecht,25.0,1999.0,27,16,1249,13.9,3,0,3,3,0,0,2,0,3.6,3.6,0.4,4.0,9,14,67,0.22,0.0,0.22,0.22,0.22,0.26,0.03,0.29,0.26,0.29
Damon Mirani,NED,DF,Heracles Almelo,28.0,1996.0,34,34,3013,33.5,2,0,2,2,0,0,3,0,1.7,1.7,0.8,2.4,11,125,10,0.06,0.0,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07
Jeyland Mitchell,CRC,DF,Feyenoord,19.0,2004.0,1,0,15,0.2,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,2.38,2.38,2.38
Shunsuke Mito,JPN,FW,Sparta R'dam,21.0,2002.0,30,18,1489,16.5,5,0,5,5,0,0,0,0,5.2,5.2,1.3,6.5,55,31,151,0.3,0.0,0.3,0.3,0.3,0.31,0.08,0.39,0.31,0.39
Josip Mitrović,CRO,"DF,MF",Fortuna Sittard,24.0,2000.0,26,9,931,10.3,2,0,2,2,0,0,1,0,1.4,1.4,1.4,2.8,17,25,51,0.19,0.0,0.19,0.19,0.19,0.14,0.14,0.27,0.14,0.27
Jakub Moder,POL,MF,Feyenoord,25.0,1999.0,14,14,1196,13.3,3,2,5,1,2,2,1,0,3.0,1.4,1.6,3.0,16,52,30,0.23,0.15,0.38,0.08,0.23,0.22,0.12,0.35,0.11,0.23
Jorthy Mokio,BEL,"MF,DF",Ajax,16.0,2008.0,11,4,509,5.7,1,0,1,1,0,0,1,0,0.9,0.9,0.2,1.1,13,21,20,0.18,0.0,0.18,0.18,0.18,0.16,0.04,0.2,0.16,0.2
Lars Mol,NED,MF,NAC Breda,19.0,2004.0,8,2,247,2.7,0,0,0,0,0,0,0,1,0.7,0.7,0.1,0.8,2,10,10,0.0,0.0,0.0,0.0,0.0,0.24,0.04,0.28,0.24,0.28
Jamiro Monteiro,CPV,MF,Zwolle,30.0,1993.0,28,23,1977,22.0,2,2,4,2,0,0,5,0,2.5,2.5,3.7,6.2,20,113,92,0.09,0.09,0.18,0.09,0.18,0.11,0.17,0.28,0.11,0.28
Alex Mortensen,SWE,"FW,MF",Groningen,22.0,2002.0,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Møller Wolfe,NOR,DF,AZ Alkmaar,22.0,2002.0,31,30,2500,27.8,2,5,7,2,0,0,5,1,1.2,1.2,2.3,3.6,85,107,149,0.07,0.18,0.25,0.07,0.25,0.04,0.08,0.13,0.04,0.13
Chris Nadje,FRA,MF,Feyenoord,22.0,2001.0,8,1,195,2.2,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,8,6,11,0.0,0.0,0.0,0.0,0.0,0.2,0.03,0.23,0.2,0.23
Adamo Nagalo,BFA,DF,PSV Eindhoven,21.0,2002.0,6,1,168,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,1,20,2,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09
Adi Nalic,BIH,"MF,FW",Almere City,26.0,1997.0,22,7,695,7.7,1,0,1,1,0,0,2,0,1.0,1.0,0.3,1.3,16,27,44,0.13,0.0,0.13,0.13,0.13,0.13,0.04,0.17,0.13,0.17
Younes Namli,DEN,"FW,MF",Zwolle,30.0,1994.0,18,13,1114,12.4,4,2,6,4,0,0,1,1,2.9,2.9,2.2,5.2,43,76,68,0.32,0.16,0.48,0.32,0.48,0.24,0.18,0.42,0.24,0.42
Mohamed Nassoh,NED,FW,Sparta R'dam,21.0,2003.0,30,14,1621,18.0,2,2,4,2,0,0,1,0,2.1,2.1,3.5,5.7,71,105,153,0.11,0.11,0.22,0.11,0.22,0.12,0.2,0.31,0.12,0.31
Gerrit Nauber,GER,DF,Go Ahead Eag,32.0,1992.0,32,30,2677,29.7,2,0,2,2,0,0,5,1,1.8,1.8,0.2,2.0,3,57,4,0.07,0.0,0.07,0.07,0.07,0.06,0.01,0.07,0.06,0.07
Camiel Neghli,NED,FW,Sparta R'dam,22.0,2001.0,20,15,1382,15.4,5,2,7,5,0,0,2,0,3.2,3.2,2.6,5.9,55,73,121,0.33,0.13,0.46,0.33,0.46,0.21,0.17,0.38,0.21,0.38
Ion Nicolaescu,MDA,FW,Heerenveen,25.0,1998.0,25,13,1270,14.1,8,0,8,5,3,3,1,0,6.7,4.3,0.8,5.1,22,19,65,0.57,0.0,0.57,0.35,0.35,0.47,0.06,0.53,0.31,0.36
