Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Yunis Abdelhamid,MAR,DF,Reims,34,1987,37,37,3330,37.0,1,2,3,1,0,0,6,0,2.4,2.4,1.0,3.4,40,215,10,0.03,0.05,0.08,0.03,0.08,0.06,0.03,0.09,0.06,0.09
Himad Abdelli,ALG,"MF,FW",Angers,22,1999,30,24,2137,23.7,2,2,4,2,0,0,3,0,1.4,1.4,2.9,4.3,58,151,111,0.08,0.08,0.17,0.08,0.17,0.06,0.12,0.18,0.06,0.18
Salis Abdul Samed,GHA,MF,Lens,22,2000,33,33,2894,32.2,1,1,2,1,0,0,6,1,0.9,0.9,1.6,2.5,33,165,44,0.03,0.03,0.06,0.03,0.06,0.03,0.05,0.08,0.03,0.08
Laurent Abergel,FRA,MF,Lorient,29,1993,29,28,2342,26.0,0,1,1,0,0,0,7,1,0.5,0.5,1.3,1.8,13,143,14,0.0,0.04,0.04,0.0,0.04,0.02,0.05,0.07,0.02,0.07
Matthis Abline,FRA,"FW,MF",Auxerre,19,2003,19,8,806,9.0,2,1,3,1,1,2,1,0,3.6,2.0,0.7,2.7,14,8,49,0.22,0.11,0.33,0.11,0.22,0.4,0.08,0.47,0.22,0.3
Matthis Abline,FRA,"FW,MF",Rennes,19,2003,11,0,107,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,4,2,11,0.84,0.0,0.84,0.84,0.84,0.65,0.22,0.87,0.65,0.87
Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,22,2000,37,28,2473,27.5,10,5,15,10,0,0,4,0,11.5,11.5,3.3,14.7,100,72,276,0.36,0.18,0.55,0.36,0.55,0.42,0.12,0.54,0.42,0.54
Mohamed Achi,FRA,FW,Nantes,20,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2,3,1,0.0,0.0,0.0,0.0,0.0,0.3,0.08,0.39,0.3,0.39
Martin Adeline,FRA,"MF,FW",Reims,18,2003,5,0,107,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,3,1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
Emmanuel Agbadou,CIV,DF,Reims,25,1997,29,27,2388,26.5,0,3,3,0,0,0,5,3,1.7,1.7,2.4,4.1,15,131,8,0.0,0.11,0.11,0.0,0.11,0.06,0.09,0.15,0.06,0.15
