Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Brenden Aaronson,USA,"MF,FW",Leeds United,21,2000,26.4,2,0,0,16,55,6,72,5,18,0,0,0,128,8,39,17.0
George Abbott,ENG,MF,Tottenham,16,2005,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Che Adams,SCO,FW,Southampton,26,1996,22.1,1,0,0,38,27,14,12,4,13,0,0,0,53,61,103,37.2
Tyler Adams,USA,MF,Leeds United,23,1999,24.0,6,1,1,37,21,1,2,35,46,0,0,0,199,25,15,62.5
Tosin Adarabioyo,ENG,DF,Fulham,24,1997,23.2,4,0,0,17,5,3,2,26,13,0,0,0,110,59,26,69.4
Nayef Aguerd,MAR,DF,West Ham,26,1996,17.7,4,0,0,8,8,2,0,18,18,0,1,0,105,32,31,50.8
Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,20,2002,1.0,1,0,0,2,0,2,2,0,2,0,0,0,8,0,1,0.0
Rayan Aït-Nouri,ALG,DF,Wolves,21,2001,12.0,4,0,0,15,11,3,21,9,20,0,1,1,61,14,17,45.2
Kristoffer Ajer,NOR,DF,Brentford,24,1998,8.5,0,0,0,5,8,0,6,7,8,0,1,0,36,15,11,57.7
Manuel Akanji,SUI,DF,Manchester City,27,1995,25.4,2,0,0,24,12,0,6,16,25,0,0,0,136,23,34,40.4
Nathan Aké,NED,DF,Manchester City,27,1995,20.8,2,0,0,12,14,1,15,20,12,0,0,0,96,36,23,61.0
Marc Albrighton,ENG,"FW,MF",Leicester City,32,1989,2.6,0,0,0,2,2,1,28,1,1,0,0,0,13,1,1,50.0
Thiago Alcántara,ESP,MF,Liverpool,31,1991,13.9,2,0,0,18,25,0,3,21,24,0,1,0,111,14,24,36.8
Carlos Alcaraz,ARG,"MF,FW",Southampton,19,2002,11.4,3,0,0,16,17,2,4,1,5,0,0,0,53,7,27,20.6
Trent Alexander-Arnold,ENG,DF,Liverpool,23,1998,32.5,5,0,0,22,6,5,252,43,40,0,0,0,239,20,13,60.6
Alisson,BRA,GK,Liverpool,29,1992,37.0,1,0,0,1,5,0,0,0,0,0,0,0,71,11,1,91.7
Dele Alli,ENG,MF,Everton,26,1996,0.4,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,33.3
Miguel Almirón,PAR,FW,Newcastle Utd,28,1994,27.7,2,0,0,22,33,9,26,10,30,0,0,0,139,6,10,37.5
Julián Álvarez,ARG,"FW,MF",Manchester City,22,2000,16.3,0,0,0,21,14,3,26,2,16,1,0,0,44,8,23,25.8
Daniel Amartey,GHA,DF,Leicester City,27,1994,17.9,1,0,0,7,3,0,0,8,8,0,1,0,108,34,26,56.7
Samuel Amo-Ameyaw,ENG,MF,Southampton,16,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Joachim Andersen,DEN,DF,Crystal Palace,26,1996,30.9,8,0,0,27,16,2,10,24,22,0,0,2,180,87,34,71.9
Elliot Anderson,ENG,"MF,FW",Newcastle Utd,19,2002,4.6,0,0,0,6,10,1,9,6,5,0,0,0,29,11,5,68.8
Jaidon Anthony,ENG,"MF,FW",Bournemouth,22,1999,14.0,2,0,0,9,12,5,43,10,17,0,0,0,80,10,12,45.5
Michail Antonio,JAM,FW,West Ham,32,1990,20.3,2,0,0,28,44,12,35,5,7,0,1,0,43,50,88,36.2
Antony,BRA,FW,Manchester Utd,22,2000,20.0,5,0,0,15,25,2,32,11,9,0,0,0,99,5,19,20.8
Cameron Archer,ENG,"FW,MF",Aston Villa,21,2001,0.5,0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,
Alphonse Areola,FRA,GK,West Ham,29,1993,3.4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
Joe Aribo,NGA,"MF,FW",Southampton,26,1996,13.6,2,0,0,10,13,0,8,10,20,0,0,0,76,30,43,41.1
Adam Armstrong,ENG,"FW,MF",Southampton,25,1997,14.8,2,0,0,17,9,2,14,5,9,0,0,0,54,5,21,19.2
Stuart Armstrong,SCO,"MF,FW",Southampton,30,1992,15.6,6,0,0,17,20,1,37,10,21,0,0,0,83,6,8,42.9
Kepa Arrizabalaga,ESP,GK,Chelsea,27,1994,28.5,1,0,0,0,8,0,0,1,2,0,0,0,42,11,1,91.7
Pierre-Emerick Aubameyang,GAB,FW,Chelsea,33,1989,6.2,1,0,0,5,1,0,3,2,0,0,0,0,11,3,11,21.4
Ludwig Augustinsson,SWE,DF,Aston Villa,28,1994,0.9,1,0,0,1,3,0,5,0,1,0,0,0,9,4,1,80.0
Serge Aurier,CIV,DF,Nott'ham Forest,29,1992,21.6,2,0,0,18,19,0,40,29,41,0,0,0,126,46,32,59.0
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,24,1997,15.6,2,0,0,24,19,15,3,4,10,0,0,0,56,20,61,24.7
