Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
1,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,18,2003,1.9,6,5,2,2,2,2,3,66.7,1,2,1,1,0,6,2,0,Matches
2,Sargis Adamyan,am ARM,"FW,MF",Köln,29,1993,7.2,14,7,5,3,6,7,17,41.2,10,12,0,12,4,18,5,0,Matches
3,Karim Adeyemi,de GER,"FW,MF",Dortmund,20,2002,15.4,16,11,6,6,4,8,30,26.7,22,18,1,17,7,23,3,0,Matches
4,Amine Adli,ma MAR,"FW,MF",Leverkusen,22,2000,15.9,18,10,4,6,8,5,17,29.4,12,28,2,26,6,24,7,0,Matches
5,Felix Agu,ng NGA,"DF,FW",Werder Bremen,22,1999,0.5,1,0,0,1,0,0,0,,0,1,1,0,0,1,0,0,Matches
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,20,2002,15.5,17,11,7,7,3,8,20,40.0,12,16,5,11,8,25,7,0,Matches
7,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,28,1994,13.5,6,5,1,4,1,1,9,11.1,8,8,2,6,1,7,8,0,Matches
8,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27,1995,21.7,75,44,45,27,3,32,45,71.1,13,45,16,29,24,99,70,1,Matches
9,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,29,1992,3.7,3,2,1,0,2,0,1,0.0,1,0,0,0,2,5,13,0,Matches
10,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21,2001,2.0,8,5,3,4,1,3,9,33.3,6,3,0,3,1,9,3,0,Matches
11,Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,29,1993,2.6,5,4,2,3,0,2,6,33.3,4,0,0,0,3,8,4,0,Matches
12,Lukáš Ambros,cz CZE,MF,Wolfsburg,18,2004,0.2,1,0,1,0,0,1,4,25.0,3,1,0,1,0,1,2,1,Matches
13,Nadiem Amiri,de GER,"MF,FW",Leverkusen,25,1996,10.9,15,6,5,8,2,9,20,45.0,11,12,1,11,6,21,10,2,Matches
14,Robert Andrich,de GER,MF,Leverkusen,27,1994,26.7,61,38,30,27,4,26,45,57.8,19,27,9,18,42,103,55,2,Matches
15,Angeliño,es ESP,DF,Hoffenheim,25,1997,29.1,40,24,19,18,3,23,37,62.2,14,32,6,26,25,65,67,0,Matches
16,Waldemar Anton,de GER,DF,Stuttgart,26,1996,32.6,49,27,27,19,3,27,51,52.9,24,44,16,28,38,87,123,2,Matches
17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,28,1994,22.0,23,15,7,8,8,10,29,34.5,19,17,0,17,5,28,16,0,Matches
18,Charles Aránguiz,cl CHI,MF,Leverkusen,33,1989,5.5,17,7,7,10,0,12,20,60.0,8,4,0,4,7,24,4,0,Matches
19,Maximilian Arnold,de GER,MF,Wolfsburg,28,1994,30.7,62,31,25,28,9,28,54,51.9,26,34,11,23,26,88,65,2,Matches
20,Takuma Asano,jp JPN,"FW,MF",Bochum,27,1994,19.0,14,9,4,4,6,7,16,43.8,9,17,1,16,8,22,8,0,Matches
21,Fisnik Asllani,xk KVX,FW,Hoffenheim,19,2002,1.9,0,0,0,0,0,0,4,0.0,4,2,0,2,3,3,3,0,Matches
22,Mehmet Aydin,de GER,"DF,FW",Schalke 04,20,2002,6.3,25,18,14,9,2,11,24,45.8,13,11,0,11,10,35,15,0,Matches
