Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Tammy Abraham,ENG,FW,Roma,25,1997,2.7,40,37,2,0,0,0,2,0,0,0,0,0,19,1,1
Francesco Acerbi,ITA,DF,Inter,35,1988,26.5,1781,1719,60,43,0,11,9,8,0,0,0,0,1615,2,5
Yacine Adli,FRA,MF,Milan,23,2000,15.6,1300,1220,78,36,3,16,50,7,35,11,12,0,1125,2,14
Michel Aebischer,SUI,MF,Bologna,26,1997,24.8,1503,1447,53,34,3,5,12,13,6,3,0,0,1370,3,17
Lucien Agoume,FRA,MF,Inter,21,2002,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Marley Aké,FRA,FW,Udinese,22,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ebenezer Akinsanmiro,NGA,MF,Inter,18,2004,0.2,8,7,1,1,0,0,0,0,0,0,0,0,7,0,0
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,30,1992,7.8,263,260,3,1,1,1,1,0,0,0,0,0,220,0,11
David Akpan Ankeye,NGA,FW,Genoa,21,2002,0.6,9,9,0,0,0,0,1,0,0,0,0,0,8,0,0
Luis Alberto,ESP,MF,Lazio,30,1992,25.7,1679,1452,215,71,14,6,150,13,114,45,54,0,1303,12,28
Carlos Alcaraz,ARG,MF,Juventus,20,2002,4.2,165,155,10,7,2,1,1,2,1,0,0,0,143,0,3
Pontus Almqvist,SWE,"FW,MF",Lecce,24,1999,23.4,478,472,6,2,1,0,21,3,1,1,0,0,351,0,19
Lorenzo Amatucci,ITA,MF,Fiorentina,19,2004,0.2,25,25,0,0,0,1,0,0,0,0,0,0,22,0,2
Bruno Amione,ARG,DF,Hellas Verona,21,2002,6.4,273,267,6,4,0,1,1,2,0,0,0,0,217,0,3
Felipe Anderson,BRA,"FW,MF",Lazio,30,1993,30.8,1336,1299,29,5,5,6,57,18,6,1,4,0,1012,8,63
Angeliño,ESP,DF,Roma,26,1997,12.7,715,610,101,12,0,4,53,87,2,1,0,0,546,4,11
Houssem Aouar,ALG,"MF,FW",Roma,25,1998,8.4,359,344,15,4,0,0,10,3,8,5,2,0,300,0,8
Simone Aresti,ITA,GK,Cagliari,37,1986,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marko Arnautović,AUT,FW,Inter,34,1989,8.9,271,264,5,0,3,1,7,0,0,0,0,0,203,2,9
