Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Keyliane Abdallah,FRA,FW,Marseille,17,2006,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Yunis Abdelhamid,MAR,DF,Reims,35,1987,30.9,4,21,7,33.3,0.68,0.23,0.14,0.43,15.0,0,1,1,3.4,2.6,0.13,0.6,0.4
Salis Abdul Samed,GHA,MF,Lens,23,2000,16.9,0,5,0,0.0,0.3,0.0,0.0,,21.6,0,0,0,0.8,0.8,0.17,-0.8,-0.8
Laurent Abergel,FRA,MF,Lorient,30,1993,31.8,2,26,11,42.3,0.82,0.35,0.08,0.18,26.5,0,0,0,1.1,1.1,0.04,0.9,0.9
Matthis Abline,FRA,FW,Nantes,20,2003,11.6,5,42,19,45.2,3.62,1.64,0.12,0.26,17.4,0,0,0,3.8,3.8,0.09,1.2,1.2
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,23,2000,8.4,3,27,7,25.9,3.22,0.84,0.07,0.29,18.7,0,1,1,2.8,2.0,0.07,0.2,0.0
Nathaniel Adjei,GHA,DF,Lorient,20,2002,13.8,0,4,0,0.0,0.29,0.0,0.0,,8.3,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Adryelson,BRA,"DF,FW",Lyon,25,1998,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Adson,BRA,"MF,FW",Nantes,22,2000,2.6,0,5,0,0.0,1.89,0.0,0.0,,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Emmanuel Agbadou,CIV,DF,Reims,26,1997,28.8,1,32,5,15.6,1.11,0.17,0.03,0.2,15.1,0,0,0,2.4,2.4,0.07,-1.4,-1.4
Ruben Aguilar,FRA,DF,Lens,30,1993,21.4,1,12,4,33.3,0.56,0.19,0.08,0.25,16.1,0,0,0,1.4,1.4,0.12,-0.4,-0.4
Tosin Aiyegun,BEN,"MF,FW",Lorient,25,1998,10.0,2,11,3,27.3,1.1,0.3,0.18,0.67,22.7,0,0,0,1.8,1.8,0.17,0.2,0.2
Sergio Akieme,ESP,DF,Reims,25,1997,9.1,2,11,2,18.2,1.21,0.22,0.18,1.0,18.3,0,0,0,1.4,1.4,0.13,0.6,0.6
Maghnes Akliouche,FRA,"MF,FW",Monaco,21,2002,17.9,7,36,22,61.1,2.01,1.23,0.19,0.32,15.7,1,0,0,5.4,5.4,0.15,1.6,1.6
Adams Akor,NGA,FW,Montpellier,23,2000,25.0,8,79,32,40.5,3.16,1.28,0.1,0.25,14.5,0,0,0,12.4,12.4,0.16,-4.4,-4.4
Paul Akouokou,CIV,MF,Lyon,25,1997,3.4,0,2,0,0.0,0.59,0.0,0.0,,15.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Aboubacar Ali,COM,"MF,FW",Strasbourg,17,2006,1.4,0,4,2,50.0,2.77,1.38,0.0,0.0,19.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Mohamed Ali Cho,FRA,FW,Nice,19,2004,9.6,1,18,6,33.3,1.88,0.63,0.06,0.17,21.1,0,0,0,1.1,1.1,0.06,-0.1,-0.1
Nabil Alioui,FRA,"MF,FW",Le Havre,24,1999,11.2,4,28,9,32.1,2.5,0.8,0.14,0.44,19.0,1,0,0,2.4,2.4,0.09,1.6,1.6
Jim Allevinah,GAB,"MF,DF",Clermont Foot,28,1995,20.7,2,37,11,29.7,1.79,0.53,0.05,0.18,14.8,0,0,0,2.6,2.6,0.07,-0.6,-0.6
Skelly Alvero,FRA,MF,Lyon,21,2002,4.7,1,9,3,33.3,1.9,0.63,0.11,0.33,22.9,0,0,0,0.4,0.4,0.05,0.6,0.6
Papa Amadou Diallo,SEN,FW,Metz,19,2004,9.9,2,13,5,38.5,1.32,0.51,0.15,0.4,14.7,0,0,0,2.6,2.6,0.2,-0.6,-0.6
Jordan Amavi,FRA,DF,Brest,29,1994,1.0,1,1,1,100.0,0.99,0.99,1.0,1.0,26.9,1,0,0,0.1,0.1,0.1,0.9,0.9
Kelvin Amian,FRA,DF,Nantes,25,1998,8.9,0,1,0,0.0,0.11,0.0,0.0,,22.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Michael Amir Murillo,PAN,DF,Marseille,27,1996,11.1,3,6,4,66.7,0.54,0.36,0.5,0.75,16.8,0,0,0,0.8,0.8,0.14,2.2,2.2
Benjamin André,FRA,MF,Lille,32,1990,28.6,4,23,9,39.1,0.81,0.32,0.17,0.44,17.0,0,0,0,2.6,2.6,0.11,1.4,1.4
Komnen Andrić,SRB,FW,Clermont Foot,28,1995,1.9,0,2,0,0.0,1.07,0.0,0.0,,19.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Ângelo,BRA,"FW,MF",Strasbourg,18,2004,12.2,0,9,4,44.4,0.74,0.33,0.0,0.0,22.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4
