Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Keyliane Abdallah,FRA,FW,Marseille,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Yunis Abdelhamid,MAR,DF,Reims,35,1987,30.9,5,0,0,26,12,0,3,39,35,0,0,1,149,61,37,62.2
Salis Abdul Samed,GHA,MF,Lens,23,2000,16.9,2,0,0,34,16,0,3,12,14,0,3,0,89,2,7,22.2
Laurent Abergel,FRA,MF,Lorient,30,1993,31.8,4,0,0,36,36,1,34,61,52,0,0,0,226,15,14,51.7
Matthis Abline,FRA,FW,Nantes,20,2003,11.6,1,0,0,10,13,6,7,3,4,1,0,0,39,15,27,35.7
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,23,2000,8.4,2,0,0,17,15,8,5,1,8,1,0,0,21,6,7,46.2
Nathaniel Adjei,GHA,DF,Lorient,20,2002,13.8,2,0,0,10,12,2,2,18,9,0,0,0,60,30,22,57.7
Adryelson,BRA,"DF,FW",Lyon,25,1998,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Adson,BRA,"MF,FW",Nantes,22,2000,2.6,0,0,0,4,4,0,2,2,6,0,0,0,11,0,2,0.0
Emmanuel Agbadou,CIV,DF,Reims,26,1997,28.8,1,0,0,31,10,2,6,55,41,0,3,0,217,45,32,58.4
Ruben Aguilar,FRA,DF,Lens,30,1993,21.4,3,0,0,20,24,3,75,26,31,0,1,0,106,24,23,51.1
Tosin Aiyegun,BEN,"MF,FW",Lorient,25,1998,10.0,0,1,0,13,16,3,8,2,4,1,0,0,33,6,10,37.5
Sergio Akieme,ESP,DF,Reims,25,1997,9.1,2,0,0,17,10,0,21,10,5,0,0,0,40,6,4,60.0
Maghnes Akliouche,FRA,"MF,FW",Monaco,21,2002,17.9,5,0,0,33,31,1,54,9,23,0,0,0,110,4,19,17.4
Adams Akor,NGA,FW,Montpellier,23,2000,25.0,2,0,0,39,22,26,12,5,4,0,0,0,55,54,69,43.9
Paul Akouokou,CIV,MF,Lyon,25,1997,3.4,1,0,0,9,3,0,0,6,9,0,0,0,25,8,5,61.5
Aboubacar Ali,COM,"MF,FW",Strasbourg,17,2006,1.4,0,0,0,4,1,0,6,1,0,0,0,0,5,1,5,16.7
Mohamed Ali Cho,FRA,FW,Nice,19,2004,9.6,2,0,0,17,22,3,44,3,9,1,1,0,30,5,12,29.4
Nabil Alioui,FRA,"MF,FW",Le Havre,24,1999,11.2,1,0,0,10,20,5,54,3,2,0,0,0,36,10,10,50.0
Jim Allevinah,GAB,"MF,DF",Clermont Foot,28,1995,20.7,1,0,0,15,26,1,47,13,18,0,0,0,100,16,26,38.1
Skelly Alvero,FRA,MF,Lyon,21,2002,4.7,2,0,0,12,3,0,2,2,7,0,1,0,20,9,7,56.3
Papa Amadou Diallo,SEN,FW,Metz,19,2004,9.9,1,0,0,10,11,4,14,11,8,0,0,0,59,30,36,45.5
Jordan Amavi,FRA,DF,Brest,29,1994,1.0,1,0,0,2,0,0,1,3,1,0,0,0,7,1,0,100.0
Kelvin Amian,FRA,DF,Nantes,25,1998,8.9,2,0,0,13,3,0,14,7,7,0,0,0,19,6,4,60.0
Michael Amir Murillo,PAN,DF,Marseille,27,1996,11.1,3,0,0,10,10,6,16,11,11,0,0,0,60,15,11,57.7
Benjamin André,FRA,MF,Lille,32,1990,28.6,8,0,0,51,43,1,19,35,49,0,0,0,195,78,56,58.2
Komnen Andrić,SRB,FW,Clermont Foot,28,1995,1.9,0,0,0,2,2,1,1,0,1,0,0,0,4,2,8,20.0
Ângelo,BRA,"FW,MF",Strasbourg,18,2004,12.2,1,0,0,12,22,2,42,9,11,1,0,0,82,2,7,22.2
Stredair Appuah,FRA,"FW,MF",Nantes,19,2004,0.9,0,0,0,1,0,0,2,1,0,0,0,0,4,1,0,100.0
Yoël Armougom,FRA,"DF,MF",Clermont Foot,25,1998,2.6,1,0,0,1,3,0,14,1,3,0,0,0,6,2,3,40.0
Hákon Arnar Haraldsson,ISL,"FW,MF",Lille,20,2003,14.3,5,0,0,15,28,1,7,3,8,0,0,0,48,1,8,11.1
Mohamed El Arouch,FRA,FW,Lyon,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Marco Asensio,ESP,"MF,FW",Paris S-G,27,1996,12.4,0,0,0,8,10,0,52,5,10,0,0,0,43,2,3,40.0
Joel Asoro,SWE,"FW,MF",Metz,24,1999,9.4,2,0,0,18,22,4,19,6,9,1,1,0,32,17,15,53.1
Lorenz Assignon,TOG,DF,Rennes,23,2000,11.2,4,0,0,22,15,1,22,9,12,1,0,0,67,11,17,39.3
Youcef Atal,ALG,DF,Nice,27,1996,4.0,2,0,0,3,4,0,6,4,3,0,0,0,28,2,2,50.0
Valentin Atangana Edoa,FRA,MF,Reims,17,2005,6.2,0,0,0,19,8,0,5,6,13,0,0,0,28,8,12,40.0
Arthur Atta,FRA,"MF,FW",Metz,20,2003,10.3,0,0,0,18,12,4,10,10,14,0,0,0,54,11,19,36.7
Pierre-Emerick Aubameyang,GAB,FW,Marseille,34,1989,29.1,4,0,0,9,20,21,42,9,14,0,0,0,67,26,39,40.0
André Ayew,GHA,FW,Le Havre,33,1989,12.3,2,1,0,15,26,4,4,2,11,0,0,0,40,44,62,41.5
Neil El Aynaoui,MAR,MF,Lens,22,2001,17.4,1,0,0,21,40,1,7,32,20,1,0,0,94,15,16,48.4
Abdellah Baallal,MAR,MF,Clermont Foot,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Shavy Babicka,GAB,"FW,MF",Toulouse,23,2000,4.1,0,0,0,5,4,1,13,0,8,0,0,0,18,5,6,45.5
Aliou Badara Baldé,GUI,"FW,DF",Nice,20,2002,0.8,0,0,0,2,2,0,4,3,1,0,0,0,6,1,2,33.3
Tiemoué Bakayoko,FRA,MF,Lorient,28,1994,14.6,5,0,0,25,23,2,1,26,17,0,0,0,94,24,17,58.5
Dilane Bakwa,FRA,"FW,MF",Strasbourg,20,2002,24.2,4,1,0,32,75,3,155,20,22,0,0,0,114,12,22,35.3
Carlos Baleba,CMR,MF,Lille,19,2004,0.7,0,0,0,2,2,0,0,2,2,0,0,0,2,0,0,
Leonardo Balerdi,ARG,DF,Marseille,24,1999,25.2,6,1,1,25,23,1,2,51,50,1,0,0,167,57,36,61.3
Folarin Balogun,USA,FW,Monaco,22,2001,18.8,1,0,0,31,35,14,7,3,4,1,0,0,48,8,33,19.5
Mohamed Bamba,CIV,FW,Lorient,21,2001,12.6,3,0,0,22,14,11,2,2,9,0,0,0,35,23,29,44.2
Mamady Bangré,BFA,"FW,MF",Toulouse,22,2001,1.1,2,0,0,3,0,1,4,4,2,0,0,0,12,1,3,25.0
Bradley Barcola,FRA,FW,Lyon,20,2002,3.0,1,0,0,4,2,2,0,2,2,0,0,0,11,9,2,81.8
Bradley Barcola,FRA,"FW,MF",Paris S-G,20,2002,15.2,3,1,1,22,12,4,18,10,16,0,0,0,52,10,11,47.6
Melvin Bard,FRA,DF,Nice,22,2000,29.5,7,1,0,40,24,1,70,42,38,0,1,0,204,23,29,44.2
Steven Baseya,FRA,DF,Strasbourg,18,2005,0.1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0.0
Mohamed Bechikh,FRA,"FW,MF",Strasbourg,18,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yanis Begraoui,MAR,"FW,MF",Toulouse,22,2001,3.3,0,0,0,5,7,1,5,5,3,0,0,0,13,4,8,33.3
Jérémie Bela,ANG,"MF,FW",Clermont Foot,30,1993,2.3,0,0,0,0,4,0,14,0,1,0,0,0,8,1,3,25.0
Reda Belahyane,MAR,MF,Nice,19,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
